NationCodeStr,AbilNo,Memo,Type01,Value01,Type02,Value02,Type03,Value03,Type04,Value04,Type05,Value05,Type06,Value06,Type07,Value07,Type08,Value08,Type09,Value09,Type10,Value10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,스킬포인트습득,1001,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,패널티 1차직업(11~19),519,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,패널티 2차직업(20~49),519,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,패널티 3차직업(50~79),519,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,패널티 4차직업(80~100),519,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,캐릭터의 기본공격속도,7111,10000,507,8,7151,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,HP와 MP 자연회복건,116,100,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39,전사 회피와 명중률,7131,1500,0,0,523,100,524,50,0,0,0,0,0,0,0,0,0,0,0,0
0,40,매지션 회피와 명중률 HP_MP 보정값,7131,1500,0,0,523,70,524,100,0,0,0,0,0,0,0,0,0,0,0,0
0,41,궁수 회피와 명중률 HP_MP 보정값,7131,1500,0,0,523,75,524,85,0,0,0,0,0,0,0,0,0,0,0,0
0,42,도둑 회피와 명중률 HP_MP 보정값,7131,1500,0,0,523,85,524,70,0,0,0,0,0,0,0,0,0,0,0,0
0,43,기사 회피와 명중률 HP_MP 보정값,7131,1500,0,0,523,120,524,50,0,0,0,0,0,0,0,0,0,0,0,0
0,44,투사 회피와 명중률 HP_MP 보정값,7131,1500,0,0,523,100,524,52,0,0,0,0,0,0,0,0,0,0,0,0
0,45,메이지 회피와 명중률 HP_MP 보정값,7131,1500,0,0,523,70,524,120,0,0,0,0,0,0,0,0,0,0,0,0
0,46,전투마법사 회피와 명중률 HP_MP 보정값,7131,1500,0,0,523,78,524,100,0,0,0,0,0,0,0,0,0,0,0,0
0,47,사냥꾼 회피와 명중률 HP_MP 보정값,7131,1500,0,0,523,80,524,85,0,0,0,0,0,0,0,0,0,0,0,0
0,48,레인저 회피와 명중률 HP_MP 보정값,7131,1500,0,0,523,75,524,88,0,0,0,0,0,0,0,0,0,0,0,0
0,49,광대 회피와 명중률 HP_MP 보정값,7131,1500,0,0,523,95,524,70,0,0,0,0,0,0,0,0,0,0,0,0
0,50,암살자 회피와 명중률 HP_MP 보정값,7131,1500,0,0,523,85,524,80,0,0,0,0,0,0,0,0,0,0,0,0
0,51,PVP용 캐릭터 사이즈 통일,3034,1,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57,소환사 기본 소환 용량,7721,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1001,1레벨 명중률,7311,10200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1002,2레벨 명중률,7311,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1003,3레벨 명중률,7311,10700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1004,4레벨 명중률,7311,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1005,5레벨 명중률,7311,11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1006,6레벨 명중률,7311,11500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1007,7레벨 명중률,7311,11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1008,8레벨 명중률,7311,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1009,9레벨 명중률,7311,12200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1010,10레벨 명중률,7311,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1011,11레벨 명중률,7311,12700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1012,12레벨 명중률,7311,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1013,13레벨 명중률,7311,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1014,14레벨 명중률,7311,13500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1015,15레벨 명중률,7311,13700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1016,16레벨 명중률,7311,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1017,17레벨 명중률,7311,14200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1018,18레벨 명중률,7311,14500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1019,19레벨 명중률,7311,14700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1020,20레벨 명중률,7311,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1021,21레벨 명중률,7311,15200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1022,22레벨 명중률,7311,15500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1023,23레벨 명중률,7311,15700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1024,24레벨 명중률,7311,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1025,25레벨 명중률,7311,16200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1026,26레벨 명중률,7311,16500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1027,27레벨 명중률,7311,16700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1028,28레벨 명중률,7311,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1029,29레벨 명중률,7311,17200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1030,30레벨 명중률,7311,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1031,31레벨 명중률,7311,17700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1032,32레벨 명중률,7311,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1033,33레벨 명중률,7311,18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1034,34레벨 명중률,7311,18500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1035,35레벨 명중률,7311,18700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1036,36레벨 명중률,7311,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1037,37레벨 명중률,7311,19200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1038,38레벨 명중률,7311,19500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1039,39레벨 명중률,7311,19700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1040,40레벨 명중률,7311,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1041,41레벨 명중률,7311,20200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1042,42레벨 명중률,7311,20500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1043,43레벨 명중률,7311,20700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1044,44레벨 명중률,7311,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1045,45레벨 명중률,7311,21200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1046,46레벨 명중률,7311,21500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
