NationCodeStr,AbilNo,Memo,Type01,Value01,Type02,Value02,Type03,Value03,Type04,Value04,Type05,Value05,Type06,Value06,Type07,Value07,Type08,Value08,Type09,Value09,Type10,Value10
0,6,멋진 언니 지속시간 1,520,5000,507,8,101,300,3003,50,0,0,0,0,0,0,0,0,0,0,0,0
0,7,멋진 언니 지속시간 2,520,6000,507,8,101,600,3003,50,0,0,0,0,0,0,0,0,0,0,0,0
0,8,멋진 언니 지속시간 3,520,7000,507,8,101,900,3003,50,0,0,0,0,0,0,0,0,0,0,0,0
0,9,멋진 언니 지속시간 4,520,8000,507,8,101,1200,3003,50,0,0,0,0,0,0,0,0,0,0,0,0
0,10,멋진 언니 지속시간 5,520,9000,507,8,101,1500,3003,50,0,0,0,0,0,0,0,0,0,0,0,0
0,13,설치류 데미지 시전자에게 전달,3075,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,HP바 감추기,6014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,29,블리자드1,520,4100,3010,1080001011,3020,100,507,2,3008,2,3003,50,7312,0,0,0,0,0,0,0
0,30,블리자드2,520,4100,3010,1080001012,3020,100,507,2,3008,2,3003,50,7312,0,0,0,0,0,0,0
0,31,블리자드3,520,4100,3010,1080001013,3020,100,507,2,3008,2,3003,50,7312,0,0,0,0,0,0,0
0,32,블리자드4,520,4100,3010,1080001014,3020,100,507,2,3008,2,3003,50,7312,0,0,0,0,0,0,0
0,33,블리자드5,520,4100,3010,1080001015,3020,100,507,2,3008,2,3003,50,7312,0,0,0,0,0,0,0
0,52,콰그마이어1,520,5000,3010,1090004011,3020,100,507,2,3008,2,3003,115,7312,0,0,0,2020,1000,0,0
0,53,콰그마이어2,520,5000,3010,1090004012,3020,100,507,2,3008,2,3003,115,7312,0,0,0,2020,1000,0,0
0,54,콰그마이어3,520,5000,3010,1090004013,3020,100,507,2,3008,2,3003,115,7312,0,0,0,2020,1000,0,0
0,55,콰그마이어4,520,5000,3010,1090004014,3020,100,507,2,3008,2,3003,115,7312,0,0,0,2020,1000,0,0
0,56,콰그마이어5,520,5000,3010,1090004015,3020,100,507,2,3008,2,3003,115,7312,0,0,0,2020,1000,0,0
0,62,에너지 볼,520,5000,3010,1090009011,3020,100,507,8,3008,2,3003,50,7312,0,0,0,2020,1000,0,0
0,63,에너지 볼,520,5000,3010,1090009012,3020,100,507,8,3008,2,3003,50,7312,0,0,0,2020,1000,0,0
