f_NationCodeStr,No,Memo,Count01,Count02,Count03,Count04,Count05,Count06,Count07,Count08,Count09,Count10,Total_Count
0,0,0번,0,0,0,0,0,0,0,0,0,0,0
63,0,0번,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0
63,1,1,1,0,0,0,0,0,0,0,0,0,0
0,2,2,1,1,1,1,1,1,1,0,0,0,0
0,3, ,1,1,1,1,0,0,0,0,0,0,0
0,4,대필드 난이도별 백,1,1,0,0,0,0,0,0,0,0,0
0,5,소필드 일반 백 1,1,1,1,1,1,1,1,1,0,0,0
0,6,소필드 일반 백 2,1,1,1,1,1,0,0,0,0,0,0
0,7,소필드 일반 백 3,1,1,1,1,1,1,0,0,0,0,0
0,8,소필드 일반 백 4,1,1,1,1,1,1,1,1,1,1,0
0,9,몬스터 백 기본 드랍 타입 1,1,1,1,1,1,1,1,0,0,0,0
0,10,몬스터 백 기본 드랍 타입 2,1,1,1,1,1,1,0,0,0,0,0
0,11,몬스터 백 기본 드랍 타입 3,1,1,1,1,1,0,0,0,0,0,0
0,12,몬스터 백 기본 드랍 타입 4,1,1,1,1,0,0,0,0,0,0,0
0,13,2칸에 1칸 꽝,1,1,1,0,0,0,0,0,0,0,0
0,14,1칸에 1칸 꽝,1,1,0,0,0,0,0,0,0,0,0
0,15,4칸에 1칸 꽝,1,1,1,1,1,0,0,0,0,0,0
0,16,5칸에 1칸 꽝,1,1,1,1,1,1,0,0,0,0,0
0,42,액세서리 스킬 확장 +2,0,0,0,0,0,0,0,0,0,0,0
0,43,액세서리 스킬 확장 +3,0,0,0,0,0,0,0,0,0,0,0
0,1001,1칸짜리 아이템 드랍,1,0,0,0,0,0,0,0,0,0,0
0,1002,2칸짜리 아이템 드랍,1,1,0,0,0,0,0,0,0,0,0
0,1003,3칸짜리 아이템 드랍,1,1,1,0,0,0,0,0,0,0,0
0,1004,4칸짜리 아이템 드랍,1,1,1,1,0,0,0,0,0,0,0
0,1005,5칸짜리 아이템 드랍,1,1,1,1,1,0,0,0,0,0,0
0,1006,6칸짜리 아이템 드랍,1,1,1,1,1,1,0,0,0,0,0
0,1007,7칸짜리 아이템 드랍,1,1,1,1,1,1,1,0,0,0,0
0,1008,8칸짜리 아이템 드랍,1,1,1,1,1,1,1,1,0,0,0
0,1009,9칸짜리 아이템 드랍,1,1,1,1,1,1,1,1,1,0,0
0,1200,100% 디펜스용,1,1,0,0,0,0,0,0,0,0,0
0,1800,교환용 소울,3,0,0,0,0,0,0,0,0,0,0
0,1900,봉인해제주문서,1,0,0,0,0,0,0,0,0,0,0
0,3010,이벤트_China_01,1,1,1,1,1,1,1,1,1,0,0
0,3020,이벤트_China_02,10,10,2,0,0,0,0,0,0,0,0
0,4010,선물상자 1-1,1,1,1,1,1,1,0,0,0,0,0
0,4020,선물상자 1-2,1,1,1,1,1,1,0,0,0,0,0
0,4030,선물상자 1-3,1,1,1,1,1,1,1,0,0,0,0
0,4040,선물상자 1-4,1,1,1,1,1,1,1,0,0,0,0
0,4050,선물상자 1-5,1,1,1,1,1,1,1,0,0,0,0
0,4060,선물상자 1-6,1,1,1,1,1,1,1,0,0,0,0
0,4070,선물상자 1-7,1,1,1,1,1,1,1,0,0,0,0
0,4080,선물상자 1-8,1,1,1,1,1,1,1,1,0,0,0
0,4090,선물상자 1-9,1,1,1,1,1,1,1,1,0,0,0
0,4100,선물상자 1-10,1,1,1,1,1,1,1,1,0,0,0
0,4110,선물상자 1-11,1,1,1,1,1,1,1,1,1,0,0
0,4120,선물상자 1-12,1,1,1,1,1,1,1,1,1,0,0
0,4130,선물상자 1-13,1,1,1,1,1,1,1,1,1,0,0
0,4140,선물상자 1-14,1,1,1,1,1,1,1,1,1,0,0
0,4141,[궤짝그룹확률] 은 궤짝 LV.3,0,0,0,0,0,0,0,0,0,0,0
0,4150,선물상자 1-15,1,1,1,1,1,1,1,1,1,0,0
0,4151,[궤짝그룹확률] 금 궤짝 LV.3,0,0,0,0,0,0,0,0,0,0,0
0,4160,선물상자 1-16,1,1,1,1,1,1,1,1,1,0,0
0,4170,선물상자 1-17,1,1,1,1,1,1,1,1,1,0,0
0,4171,[궤짝그룹확률] 청동 궤짝 LV.4,0,0,0,0,0,0,0,0,0,0,0
0,4180,선물상자 1-18,1,1,1,1,1,1,1,1,1,0,0
0,4181,[궤짝그룹확률] 구리 궤짝 LV.4,0,0,0,0,0,0,0,0,0,0,0
0,4190,선물상자 1-19,1,1,1,1,1,1,1,1,1,0,0
0,4191,[궤짝그룹확률] 은 궤짝 LV.4,0,0,0,0,0,0,0,0,0,0,0
0,4200,선물상자 1-20,1,1,1,1,1,1,1,1,1,0,0
