NationCodeStr,EffectID,Name,ActionName,Memo,Type,Interval,DurationTime,Toggle,Abil01,Abil02,Abil03,Abil04,Abil05,Abil06,Abil07,Abil08,Abil09,Abil10
0,300401,300401,se_common_potion,최하급 체력 회복 포션,1,1000,60000,0,300401,0,0,0,0,0,0,0,0,17001
0,300501,300501,0,최하급 마나 회복 포션,1,1000,60000,0,300501,0,0,0,0,0,0,0,0,17001
0,300601,300601,se_common_potion,하급 체력 회복 포션,1,1000,60000,0,300601,0,0,0,0,0,0,0,0,17001
0,300701,300701,0,하급 마나 회복 포션,1,1000,60000,0,300701,0,0,0,0,0,0,0,0,17001
0,300801,300801,se_common_potion,중급 체력 회복 포션,1,1000,60000,0,300801,0,0,0,0,0,0,0,0,17001
0,300901,300901,0,중급 마나 회복 포션,1,1000,60000,0,300901,0,0,0,0,0,0,0,0,17001
0,301001,301001,se_common_potion,상급 체력 회복 포션,1,1000,60000,0,301001,0,0,0,0,0,0,0,0,17001
0,301101,301101,0,상급 마나 회복 포션,1,1000,60000,0,301101,0,0,0,0,0,0,0,0,17001
0,301201,301201,0,최상급 체력 회복 포션,1,1000,60000,0,301201,0,0,0,0,0,0,0,0,17001
0,301301,301301,0,최상급 마나 회복 포션,1,1000,60000,0,301301,0,0,0,0,0,0,0,0,17001
0,301401,301401,se_common_potion,최하급 체력 회복 포션2,1,1000,10000,0,301401,0,0,0,0,0,0,0,0,17001
0,301501,301501,0,최하급 마나 회복 포션2,1,1000,10000,0,301501,0,0,0,0,0,0,0,0,17001
0,301601,301601,se_common_potion,하급 체력 회복 포션2,1,1000,10000,0,301601,0,0,0,0,0,0,0,0,17001
0,301701,301701,0,하급 마나 회복 포션2,1,1000,10000,0,301701,0,0,0,0,0,0,0,0,17001
0,301801,301801,se_common_potion,중급 체력 회복 포션2,1,1000,10000,0,301801,0,0,0,0,0,0,0,0,17001
0,301901,301901,0,중급 마나 회복 포션2,1,1000,10000,0,301901,0,0,0,0,0,0,0,0,17001
0,302001,302001,se_common_potion,상급 체력 회복 포션2,1,1000,10000,0,302001,0,0,0,0,0,0,0,0,17001
0,302101,302101,0,상급 마나 회복 포션2,1,1000,10000,0,302101,0,0,0,0,0,0,0,0,17001
0,302201,302201,se_common_potion,최상급 체력 회복 포션2,1,1000,10000,0,302201,0,0,0,0,0,0,0,0,17001
0,302301,302301,0,최상급 마나 회복 포션2,1,1000,10000,0,302301,0,0,0,0,0,0,0,0,17001
0,302401,302401,se_rest01,초목이 나무의자,1,10000,0,0,302401,0,0,0,0,0,0,0,0,17001
0,302501,302501,se_rest02,체크무늬 소파,1,5000,0,0,302501,0,0,0,0,0,0,0,0,17001
0,302601,302601,se_rest03,개조 나무욕조,1,5000,0,0,302601,0,0,0,0,0,0,0,0,17001
0,302701,302701,se_rest04,휴식용 요람,1,5000,0,0,302701,0,0,0,0,0,0,0,0,17001
0,302801,302801,se_rest05,초목이 나무의자 2,1,10000,0,0,302401,0,0,0,0,0,0,0,0,17001
0,302901,302901,se_rest_effect,휴식의자용 이펙트,1,0,3000,0,302901,0,0,0,0,0,0,0,0,17001
0,303001,303001,0,북미이벤트 햄버거,1,0,900000,0,303001,0,0,0,0,0,0,0,0,17001
0,303101,303101,0,북미이벤트 핫도그,1,0,450000,0,303101,0,0,0,0,0,0,0,0,17001
0,303201,303201,0,호수신의 은도끼,1,0,1800000,0,303201,0,0,0,0,0,0,0,0,17001
0,303301,303301,se_rest06,야후 향향 욕통,1,10000,0,0,303301,0,0,0,0,0,0,0,0,17001
0,303401,303401,0,사랑의 열기구,1,10000,0,0,303401,0,0,0,0,0,0,0,0,17001
0,303501,303501,se_rest10,돌고래 튜브,1,5000,0,0,303501,0,0,0,0,0,0,0,0,17001
0,303601,303601,se_rest11,스포츠카 튜브,1,5000,0,0,303601,0,0,0,0,0,0,0,0,17001
0,303701,303701,se_rest12,택시 튜브,1,5000,0,0,303701,0,0,0,0,0,0,0,0,17001
0,303801,303801,se_rest07,사랑의 열기구 거는 이펙트,1,0,0,0,303801,0,0,0,0,0,0,0,0,17001
0,303901,303901,0,쿨타임 1분 감소 유지 물약,1,1000,60000,0,303901,0,0,0,0,0,0,0,0,17001
0,304001,304001,0,쿨타임 3분 감소 유지 물약,1,1000,180000,0,304001,0,0,0,0,0,0,0,0,17001
0,304101,304101,0,쿨타임 5분 감소 유지 물약,1,1000,300000,0,304101,0,0,0,0,0,0,0,0,17001
0,304201,304201,0,떠돌이 상인 소환권,1,0,0,0,304201,0,0,0,0,0,0,0,0,17001
0,304301,304301,0,금고 소환권,1,0,0,0,304301,0,0,0,0,0,0,0,0,17001
0,304401,304401,0,공격속도 향상 물약(소),1,1000,600000,0,304401,0,0,0,0,0,0,0,0,17001
0,304501,304501,0,공격속도 향상 물약(중),1,1000,600000,0,304501,0,0,0,0,0,0,0,0,17001
0,304601,304601,0,공격속도 향상 물약(대),1,1000,600000,0,304601,0,0,0,0,0,0,0,0,17001
0,304701,304701,0,파리스 몬스터 카드,1,0,0,0,304701,0,0,0,0,0,0,0,0,17001
0,304801,304801,0,네브 몬스터 카드,1,0,0,0,304801,0,0,0,0,0,0,0,0,17001
0,304901,304901,0,로스트 몬스터 카드,1,0,0,0,304901,0,0,0,0,0,0,0,0,17001
0,305001,305001,0,안타레스 몬스터 카드,1,0,0,0,305001,0,0,0,0,0,0,0,0,17001
0,305101,305101,0,키마트 몬스터 카드,1,0,0,0,305101,0,0,0,0,0,0,0,0,17001
0,305201,305201,0,5% 스톤 스킨 물약,1,1000,60000,0,305201,0,0,0,0,0,0,0,0,17001
0,305301,305301,0,10% 스톤 스킨 물약,1,1000,180000,0,305301,0,0,0,0,0,0,0,0,17001
0,305401,305401,0,15% 스톤 스킨 물약,1,1000,300000,0,305401,0,0,0,0,0,0,0,0,17001
0,305501,305501,0,5% 배리어 물약,1,1000,60000,0,305501,0,0,0,0,0,0,0,0,17001
0,305601,305601,0,10% 배리어 물약,1,1000,180000,0,305601,0,0,0,0,0,0,0,0,17001
0,305701,305701,0,15% 배리어 물약,1,1000,300000,0,305701,0,0,0,0,0,0,0,0,17001
0,305801,305801,0,무기 착용 -5 레벨 감소,1,0,0,0,305801,0,0,0,0,0,0,0,0,17001
0,305802,305801,0,무기 착용 -5 레벨 감소 (5일),1,0,432000000,0,305801,0,0,0,0,0,0,0,0,17001
0,305803,305801,0,무기 착용 -5 레벨 감소 (15일),1,0,1296000000,0,305801,0,0,0,0,0,0,0,0,17001
0,305901,305901,0,방어구 착용 -5레벨 감소,1,0,0,0,305901,0,0,0,0,0,0,0,0,17001
0,305902,305901,0,방어구 착용 -5레벨 감소 (5일),1,0,432000000,0,305901,305911,0,0,0,0,0,0,0,17001
0,305903,305901,0,방어구 착용 -5레벨 감소 (15일),1,0,1296000000,0,305901,305911,0,0,0,0,0,0,0,17001
0,306001,306001,0,악세서리 착용 -5레벨 감소,1,0,0,0,306001,0,0,0,0,0,0,0,0,17001
0,306002,306001,0,악세서리 착용 -5레벨 감소 (5일),1,0,432000000,0,306001,0,0,0,0,0,0,0,0,17001
0,306003,306001,0,악세서리 착용 -5레벨 감소 (15일),1,0,1296000000,0,306001,0,0,0,0,0,0,0,0,17001
0,306101,306101,0,스타일 착용 -5레벨 감소,1,0,0,0,306101,0,0,0,0,0,0,0,0,17001
0,306201,306201,0,경험치 2배 증가,1,1000,7200000,0,306201,0,0,0,0,0,0,0,0,17001
0,306301,306301,0,최대 HP/MP 10% 증가,1,1000,7200000,0,306301,0,0,0,0,0,0,0,0,17001
0,306401,306401,0,쿨타임 1분 초기화 유지 물약,1,1000,60000,0,306401,0,0,0,0,0,0,0,0,17001
0,306501,306501,0,쿨타임 3분 초기화 유지 물약,1,1000,180000,0,306501,0,0,0,0,0,0,0,0,17001
0,306601,306601,0,쿨타임 5분 초기화 유지 물약,1,1000,300000,0,306601,0,0,0,0,0,0,0,0,17001
0,306701,306701,0,이동속도 향상물약(마을전용),1,1000,3600000,0,306701,0,0,0,0,0,0,0,0,17001
0,306801,306801,0,이동속도 향상물약(소),1,1000,600000,0,306801,0,0,0,0,0,0,0,0,17001
0,306901,306901,0,이동속도 향상물약(중),1,1000,600000,0,306901,0,0,0,0,0,0,0,0,17001
0,307001,307001,0,이동속도 향상물약(대),1,1000,600000,0,307001,0,0,0,0,0,0,0,0,17001
0,307101,307101,0,최대 HP 10% 증가 ,1,1000,7200000,0,307101,0,0,0,0,0,0,0,0,17001
0,307201,307201,0,최대 MP 10% 증가 ,1,1000,7200000,0,307201,0,0,0,0,0,0,0,0,17001
0,307301,307301,0,STR 15% 증가 ,1,1000,7200000,0,307301,0,0,0,0,0,0,0,0,17001
0,307401,307401,0,INT 15% 증가 ,1,1000,7200000,0,307401,0,0,0,0,0,0,0,0,17001
0,307501,307501,0,CON 15% 증가 ,1,1000,7200000,0,307501,0,0,0,0,0,0,0,0,17001
0,307601,307601,0,DEX 15% 증가 ,1,1000,7200000,0,307601,0,0,0,0,0,0,0,0,17001
0,307701,307701,0,이동속도 10% 증가 ,1,1000,7200000,0,307701,0,0,0,0,0,0,0,0,17001
0,307801,307801,0,공격속도 10% 증가 ,1,1000,7200000,0,307801,0,0,0,0,0,0,0,0,17001
0,307802,307802,0,공격속도 10% 증가 ,1,1000,600000,0,307802,0,0,0,0,0,0,0,0,17001
0,307822,307802,0,"화속성 공격력,5대공격력,화속성공격력%,화속성 전환공격력%",1,1000,600000,0,307822,0,0,0,0,0,0,0,0,17001
0,307842,307802,0,더러운속성공격,1,1000,600000,0,307842,307843,0,0,0,0,0,0,0,17001
0,307901,307901,0,회피율 +20 증가 ,1,1000,7200000,0,307901,0,0,0,0,0,0,0,0,17001
0,308001,308001,0,치명타 확률 20% 증가 ,1,1000,7200000,0,308001,0,0,0,0,0,0,0,0,17001
0,308101,308101,0,치명타 공격력 20% 증가 ,1,1000,7200000,0,308101,0,0,0,0,0,0,0,0,17001
0,308201,308201,0,HP 회복속도 25% 증가 ,1,1000,7200000,0,308201,0,0,0,0,0,0,0,0,17001
0,308301,308301,0,MP 회복속도 25% 증가 ,1,1000,7200000,0,308301,0,0,0,0,0,0,0,0,17001
0,308401,308401,0,경험치 10% 증가,1,1000,7200000,0,308401,0,0,0,0,0,0,0,0,17001
0,308501,308501,se_rest_exp01,대어를 잡자,1,30000,0,0,308501,0,0,0,0,0,0,0,0,17001
0,308601,308601,se_rest_exp02,편안한 흔들의자,1,30000,0,0,308601,0,0,0,0,0,0,0,0,17001
0,308701,308701,se_rest_exp03,공중부양,1,30000,0,0,308701,0,0,0,0,0,0,0,0,17001
0,400001,400001,0,늑대 튀김구이,1,0,240000,0,400001,0,0,0,0,0,0,0,0,17001
0,400002,400002,0,늑대 튀김구이[고급],1,0,300000,0,400002,0,0,0,0,0,0,0,0,17001
0,400003,400003,0,늑대 튀김구이[최상급],1,0,600000,0,400003,0,0,0,0,0,0,0,0,17001
0,400101,400101,0,너구리 꼬치구이,1,0,180000,0,400101,0,0,0,0,0,0,0,0,17001
0,400102,400102,0,너구리 꼬치구이[고급],1,0,300000,0,400102,0,0,0,0,0,0,0,0,17001
0,400103,400103,0,너구리 꼬치구이[최상급],1,0,300000,0,400103,0,0,0,0,0,0,0,0,17001
0,400201,400201,0,초목 깻잎찜,1,0,180000,0,400201,0,0,0,0,0,0,0,0,17001
0,400202,400202,0,초목 깻잎찜[고급],1,0,300000,0,400202,0,0,0,0,0,0,0,0,17001
0,400203,400203,0,초목 깻잎찜[최상급],1,0,300000,0,400203,0,0,0,0,0,0,0,0,17001
0,400301,400301,0,코주부 머리고기,1,0,180000,0,400301,0,0,0,0,0,0,0,0,17001
0,400302,400302,0,코주부 머리고기[고급],1,0,300000,0,400302,0,0,0,0,0,0,0,0,17001
0,400303,400303,0,코주부 머리고기[최상급],1,0,300000,0,400303,0,0,0,0,0,0,0,0,17001
0,400401,400401,0,스페셜 꽃게 잡탕,1,0,90000,0,400401,0,0,0,0,0,0,0,0,17001
0,400402,400402,0,스페셜 꽃게 잡탕[고급],1,0,180000,0,400402,0,0,0,0,0,0,0,0,17001
0,400403,400403,0,스페셜 꽃게 잡탕[최상급],1,0,300000,0,400403,0,0,0,0,0,0,0,0,17001
0,400501,400501,0,별가사리 수육,1,0,120000,0,400501,0,0,0,0,0,0,0,0,17001
0,400502,400502,0,별가사리 수육[고급],1,0,300000,0,400502,0,0,0,0,0,0,0,0,17001
0,400503,400503,0,별가사리 수육[최상급],1,0,600000,0,400503,0,0,0,0,0,0,0,0,17001
0,400601,400601,0,상어 사골탕,1,0,180000,0,400601,0,0,0,0,0,0,0,0,17001
0,400602,400602,0,상어 사골탕[고급],1,0,300000,0,400602,0,0,0,0,0,0,0,0,17001
0,400603,400603,0,상어 사골탕[최상급],1,0,300000,0,400603,0,0,0,0,0,0,0,0,17001
0,400701,400701,0,사과쥬스,1,0,0,0,400701,0,0,0,0,0,0,0,0,17001
0,400801,400801,0,바나나우유,1,0,0,0,400801,0,0,0,0,0,0,0,0,17001
0,400901,400901,0,포도맛 막대사탕,1,0,0,0,400901,0,0,0,0,0,0,0,0,17001
0,401001,401001,0,아이스크림 케잌,1,0,0,0,401001,0,0,0,0,0,0,0,0,17001
0,401101,401101,0,양고기 스테이크,1,0,180000,0,401101,0,0,0,0,0,0,0,0,17001
