EffectID,Name,ActionName,Memo,Type,Interval,DurationTime,Toggle,Abil01,Abil02,Abil03,Abil04,Abil05,Abil06,Abil07,Abil08,Abil09,Abil10
2501,2501,se_poison,몬스터 거미 독 살포 (Venom),2,2000,15000,0,2501,0,0,20004,0,0,0,0,0,0
2502,2502,se_poison,리바이어스맹독,2,3000,15000,0,2502,0,0,20004,0,0,0,0,0,0
2503,100010601,se_poison_02,45레벨 일반 몬스터 독데미지,2,2000,16000,0,2503,0,0,20004,0,0,0,0,0,0
2601,2601,0,애들 부르기,64,0,120000,0,2601,0,0,0,0,0,0,0,0,0
2701,2701,se_stun,스턴,2,0,3000,0,2701,0,0,0,0,0,0,0,11701,17101
2801,2901,sa_net_binder03,자폭넷바인더(스파키),2,0,3000,0,2801,0,2802,0,0,0,0,0,0,0
2802,2901,sa_net_binder04,자폭넷바인더(포이키),2,0,3000,0,2801,0,2802,0,0,0,0,0,0,0
2803,2901,sa_net_binder05,자폭넷바인더(아이키),2,0,3000,0,2801,0,2802,0,0,0,0,0,0,0
2902,2902,0,캐릭높이*1 뜨기,2,0,1500,0,2902,0,0,0,0,0,0,0,0,17101
2903,2903,0,캐릭높이*2 뜨기,2,0,1500,0,2903,0,0,0,0,0,0,0,0,17101
2904,2904,0,캐릭높이*3 뜨기,2,0,1500,0,2904,0,0,0,0,0,0,0,0,17101
2905,6081301,0,얼음엔티티 ,1,500,3000,0,2905,0,0,0,0,0,0,0,0,0
2906,0,0,a_push_back_short,2,0,2000,0,2902,0,0,0,0,0,0,0,0,17101
2907,0,0,a_push_back,2,0,2000,0,2903,0,0,0,0,0,0,0,0,17101
2908,0,0,a_push_back_long,2,0,2000,0,2904,0,0,0,0,0,0,0,0,17101
2909,0,0,mon_push_atot,2,0,2000,0,2904,0,0,0,0,0,0,0,0,17101
2910,0,0,mon_push_short,2,0,2000,0,2902,0,0,0,0,0,0,0,0,17101
2911,0,0,mon_push_middle,2,0,2000,0,2903,0,0,0,0,0,0,0,0,17101
2912,0,0,mon_push_long,2,0,2000,0,2904,0,0,0,0,0,0,0,0,17101
2913,2913,se_whiteout,하얀 세상 만들기,2,0,10000,0,2913,0,0,0,0,0,0,0,0,17101
2914,0,a_push_back_long_2,멀리 넉백_2 (500),2,0,2000,0,2904,0,0,0,0,0,0,0,0,17101
10502,300001,0,파렐경 독 버프(신규),2,1000,0,0,10502,0,0,0,0,0,0,0,0,17101
16301,0,0,일반상태,1,0,0,0,16301,16339,0,0,0,0,0,0,0,0
16401,0,se_fury_loop_01,분노상태1-공업,1,0,0,0,16401,16402,0,0,0,0,0,0,0,0
16501,0,se_stun_mon,그로기상태,1,0,0,0,16501,16341,0,0,0,0,0,0,0,0
16601,0,0,일반상태(한국 저레벨 정예용),1,0,0,0,16351,16352,0,0,0,0,0,0,0,0
16636,0,0,초기화,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20502,3000201,0,파렐경 독 버프 (효과)_신규,2,1,0,0,20502,0,0,0,0,0,0,0,0,17101
26401,0,se_fury_loop_02,분노상태2-방업,1,0,0,0,26401,26402,0,0,0,0,0,0,0,0
36401,0,se_fury_loop_03,분노상태3-속업,1,0,0,0,36401,36402,0,0,0,0,0,0,0,0
46401,0,se_fury_loop_04,분노상태4-공방업,1,0,0,0,46401,46402,0,0,0,0,0,0,0,0
56401,0,se_fury_loop_05,분노상태5-공속업,1,0,0,0,56401,56402,0,0,0,0,0,0,0,0
66401,0,se_fury_loop_06,분노상태6-방속업,1,0,0,0,66401,66402,0,0,0,0,0,0,0,0
76401,0,se_fury_loop_07,분노상태7-공방속업,1,0,0,0,76401,76402,0,0,0,0,0,0,0,0
86401,0,0,데미지액션 하지않을 시간,1,0,1500,0,86401,0,0,0,0,0,0,0,0,0
90001,0,se_lockon,캐스터 락온 이펙트,1,100,10000,0,90001,0,0,0,0,0,0,0,0,0
90002,0,se_lockon,킹스피온 락온 이펙트,1,100,10000,0,90002,0,0,0,0,0,0,0,0,0
602502,602502,sa_cold,냉기폭풍 결빙이펙트,2,2000,15000,0,602502,20002,0,0,0,0,0,0,0,17101
