NationCodeStr,EffectID,Name,ActionName,Memo,Type,Interval,DurationTime,Toggle,Abil01,Abil02,Abil03,Abil04,Abil05,Abil06,Abil07,Abil08,Abil09,Abil10
0,1000,1000,se_dmg_share,소환체 - 고통분담 - 공용이펙트,11,0,1000,0,0,0,0,0,0,0,0,0,0,0
0,10079,10079,0,띄우기,11,0,0,0,10079,0,0,0,0,0,0,0,0,17001
0,10080,10080,0,6연사,11,0,5000,0,10080,0,0,0,0,0,0,0,0,17001
0,10081,10081,0,날리기,1,0,3000,0,10081,0,0,0,0,0,0,0,0,17001
0,10089,10089,0,프로스트노바,1,0,5000,0,10089,0,0,0,0,0,0,0,0,17001
0,10090,10090,0,실크,1,0,3000,0,10090,0,0,0,0,0,0,0,0,17001
0,10100,10100,a_revive,부활,11,0,0,0,10100,0,0,0,0,0,0,0,0,17001
0,10101,10101,0,몬스터와 충돌때 사용할 충돌데미지,11,0,0,0,1,0,0,0,0,0,0,0,0,17001
0,11001,110010,0,미션 경험치 패널티,5,0,1000,0,11001,0,0,0,0,0,0,0,0,17001
0,11101,11101,0,부활하는 모션,11,0,0,0,11101,0,0,0,0,0,0,0,0,17001
0,11102,11102,a_Resurrection_yn,부활할 때 물어보자!,11,0,0,0,11102,0,0,0,0,0,0,0,0,17001
0,11201,11201,se_unrivaled,부활무적,5,1000,3000,0,11201,0,0,0,0,0,0,0,0,17001
0,11301,11301,0,의자에 앉아 빈둥거리기,11,0,0,0,11301,0,0,0,0,0,0,0,0,17001
0,11401,11401,se_firewood,궤짝 아이템 이펙트,1,0,1600,0,11401,0,0,0,0,0,0,0,0,17001
0,11501,11501,se_helpbox,도움이 되는 상자 이펙트,1,0,3000,0,11501,0,0,0,0,0,0,0,0,17001
0,11601,11601,se_chicken,헌터캡슐 이펙트,1,0,2600,0,11601,0,0,0,0,0,0,0,0,17001
0,11801,11801,se_hitblocking,절대방어로 방어될때 이펙트,1,0,1,0,0,0,0,0,0,0,0,0,0,17001
0,12001,0,0,기능성아이템,6,0,0,0,0,0,0,0,0,0,0,0,0,17001
0,12101,12101,0,병아리 안전모,1,0,0,0,0,0,0,0,0,0,0,0,0,17001
0,13001,13001,0,공성전 보정,7,0,0,0,13001,0,0,0,0,0,0,0,0,17001
0,13002,13002,0,PvP 방어력 보정,7,0,0,0,13002,0,0,0,0,0,0,0,0,17001
0,14001,14001,0,PVP HandyCap,5,0,0,0,14001,0,0,0,0,0,0,0,0,17001
0,18001,18001,0,공성전 타임이펙트,5,0,5000,0,18001,0,0,0,0,0,0,0,0,17001
0,19001,19001,0,엠포리아 치유의 샘 이펙트,1,0,7200000,0,19001,0,0,0,0,0,0,0,0,0
0,19101,465301,se_moairange,조각상 설치,1,1000,15000,0,19101,0,0,0,0,0,0,0,0,17001
0,19102,465302,se_moairange,조각상 설치,1,1000,15000,0,19102,0,0,0,0,0,0,0,0,17001
0,19103,465303,se_moairange,조각상 설치,1,1000,15000,0,19103,0,0,0,0,0,0,0,0,17001
0,19201,465301,0,조각상,1,0,40000,0,19201,0,0,0,0,0,0,0,0,17001
0,19202,465302,0,조각상,1,0,40000,0,19202,0,0,0,0,0,0,0,0,17001
0,19203,465303,0,조각상,1,0,40000,0,19203,0,0,0,0,0,0,0,0,17001
0,19301,109999602,se_Moai,조각상 버프(효과),1,0,2500,0,19301,0,0,0,0,0,0,0,0,17001
0,19401,465301,se_Moaibuff,조각상 버프 _1,1,0,0,0,19401,0,0,0,0,0,0,0,0,17001
0,19502,465302,se_Moaibuff,조각상 버프 _2,1,0,0,0,19502,0,0,0,0,0,0,0,0,17001
0,19603,465303,se_Moaibuff,조각상 버프 _3,1,0,0,0,19603,0,0,0,0,0,0,0,0,17001
0,20001,20001,0,채팅 금지 필터링적용 이펙트,5,0,0,0,20001,0,0,0,0,0,0,0,0,0
0,25101,0,se_groove_impact,연계 효과용 데미지 증가 30%,1,0,1000,0,25101,0,0,0,0,0,0,0,0,17001
0,25201,0,se_groove_impact,연계 효과용 데미지 증가 60%,1,0,1000,0,25201,0,0,0,0,0,0,0,0,17001
0,25301,0,se_cri_impact,연계 효과용 크리티컬 발동률 30%,1,0,1000,0,25301,0,0,0,0,0,0,0,0,17001
0,25401,0,se_cri_impact,연계 효과용 크리티컬 발동률 80%,1,0,1000,0,25401,0,0,0,0,0,0,0,0,17001
0,25501,0,se_Arc Santuary,연계 효과용 마나회복 1%,1,0,1000,0,25501,0,0,0,0,0,0,0,0,17001
0,25601,0,se_Arc Santuary,연계 효과용 마나회복 2%,1,0,1000,0,25601,0,0,0,0,0,0,0,0,17001
0,25701,0,se_Arc Santuary,연계 효과용 마나회복 3%,1,0,1000,0,25701,0,0,0,0,0,0,0,0,17001
0,25801,0,se_Santuary,연계 효과용 체력회복 10%,1,0,1000,0,25801,0,0,0,0,0,0,0,0,17001
0,29101,465301,se_moairange,조각상(엘가) 설치,1,1000,15000,0,29101,0,0,0,0,0,0,0,0,17001
0,29102,465302,se_moairange,조각상(엘가) 설치,1,1000,15000,0,29102,0,0,0,0,0,0,0,0,17001
0,29103,465303,se_moairange,조각상(엘가) 설치,1,1000,15000,0,29103,0,0,0,0,0,0,0,0,17001
0,29201,465301,0,조각상(엘가),1,0,40000,0,29201,0,0,0,0,0,0,0,0,17001
0,29202,465302,0,조각상(엘가),1,0,40000,0,29202,0,0,0,0,0,0,0,0,17001
0,29203,465303,0,조각상(엘가),1,0,40000,0,29203,0,0,0,0,0,0,0,0,17001
0,29301,109999602,se_Moai,조각상(엘가) 버프(효과),1,0,2500,0,29301,0,0,0,0,0,0,0,0,17001
0,29401,465301,se_Moaibuff,조각상(엘가) 버프 _1,1,0,0,0,29401,0,0,0,0,0,0,0,0,17001
0,29502,465302,se_Moaibuff,조각상(엘가) 버프 _2,1,0,0,0,29502,0,0,0,0,0,0,0,0,17001
0,29603,465303,se_Moaibuff,조각상(엘가) 버프 _3,1,0,0,0,29603,0,0,0,0,0,0,0,0,17001
0,60001,60001,0,배틀스퀘어전투불능1버프(HP25%),11,0,1800000,0,60001,0,0,0,0,0,0,0,0,17001
0,60002,60002,0,배틀스퀘어전투불능2버프(방어력10%),11,0,1800000,0,60002,0,0,0,0,0,0,0,0,17001
0,60003,60003,0,배틀스퀘어전투불능3버프(HP50%),11,0,1800000,0,60003,0,0,0,0,0,0,0,0,17001
0,60004,60004,0,배틀스퀘어전투불능4버프(방어력20%),11,0,1800000,0,60004,0,0,0,0,0,0,0,0,17001
0,60005,60005,0,배틀스퀘어전투불능5버프(HP75%),11,0,1800000,0,60005,0,0,0,0,0,0,0,0,17001
0,60006,60006,0,배틀스퀘어전투불능6버프(방어력30%),11,0,1800000,0,60006,0,0,0,0,0,0,0,0,17001
0,60007,60007,0,배틀스퀘어전투불능7버프(HP100%),11,0,1800000,0,60007,0,0,0,0,0,0,0,0,17001
0,60008,60008,0,배틀스퀘어전투불능8버프(방어력40%),11,0,1800000,0,60008,0,0,0,0,0,0,0,0,17001
0,60101,60101,se_Alarm_mission_complete,돌발미션 그래픽 이펙트,1,0,5000,0,60101,0,0,0,0,0,0,0,0,17001
0,60201,0,se_Empo_redteam,엠포리아 의상 이펙트_레드팀,1,1,0,0,60201,0,0,0,0,0,0,0,0,0
0,60301,0,se_Empo_blueteam,엠포리아 의상 이펙트_블루팀,1,1,0,0,60301,0,0,0,0,0,0,0,0,0
0,60401,60401,se_replect_dmg,반사데미지 파티클,11,300,0,0,60401,0,0,0,0,0,0,0,0,17001
0,60501,0,se_bossbattle_dress,보스배틀 드레스,1,0,0,0,60501,0,0,0,0,0,0,0,0,0
0,290010,290010,0,PVP 버프 - 전사,11,0,0,0,290010,290000,0,0,0,0,0,0,0,17001
0,290020,290010,0,PVP 버프 - 투사,11,0,0,0,290020,290000,0,0,0,0,0,0,0,17001
0,290030,290010,0,PVP 버프 - 메이지,11,0,0,0,290030,290000,0,0,0,0,0,0,0,17001
0,290040,290010,0,PVP 버프 - 전투마법사,11,0,0,0,290040,290000,0,0,0,0,0,0,0,17001
0,290050,290010,0,PVP 버프 - 사냥꾼,11,0,0,0,290050,290000,0,0,0,0,0,0,0,17001
0,290060,290010,0,PVP 버프 - 레인저,11,0,0,0,290060,290000,0,0,0,0,0,0,0,17001
0,290070,290010,0,PVP 버프 - 광대,11,0,0,0,290070,290000,0,0,0,0,0,0,0,17001
0,290080,290010,0,PVP 버프 - 암살자,11,0,0,0,290080,290000,0,0,0,0,0,0,0,17001
0,290090,290010,0,PVP 버프 - 소환사,11,0,0,0,290090,290000,0,0,0,0,0,0,0,17001
0,290100,290010,0,PVP 버프 - 쌍둥이,11,0,0,0,290100,290000,0,0,0,0,0,0,0,17001
0,300001,300001,0,파렐경 독 버프,11,1000,0,0,300001,0,0,0,0,0,0,0,0,17001
0,300101,300101,0,파렐경 독 방지 버프,1,0,0,0,300101,0,0,0,0,0,0,0,0,17001
0,300201,300201,0,카오스 조각 디버프,11,1000,0,0,300201,0,0,0,0,0,0,0,0,17001
0,300301,300301,0,카오스 조각 디버프 방지 버프,11,0,7200000,0,300301,0,0,0,0,0,0,0,0,17001
0,308800,308900,0,[라그나로크] 차원저항 디버프 - 관리자,11,1000,0,0,308800,0,0,0,0,0,0,0,0,17001
0,308900,308900,0,[라그나로크] 차원저항 디버프 - 효과,11,0,0,0,308900,0,0,0,0,0,0,0,0,17001
0,309000,309000,0,[라그나로크] 차원저항 해제,11,0,0,0,309000,0,0,0,0,0,0,0,0,17001
0,309100,309200,0,[라그나로크] 결계저항(글레스트헤임) 디버프 - 관리자,11,1000,0,0,309100,0,0,0,0,0,0,0,0,17001
0,309200,309200,0,[라그나로크] 결계저항(글레스트헤임) 디버프 - 효과,11,0,0,0,309200,0,0,0,0,0,0,0,0,17001
0,309300,309300,0,[라그나로크] 결계저항(글레스트헤임) 해제,11,0,0,0,309300,0,0,0,0,0,0,0,0,17001
0,310001,310001,0,a_push_back_public,11,0,1000,0,310001,0,0,0,0,0,0,0,0,17001
0,310201,310201,0,a_knockback_down,11,0,1000,0,310201,0,0,0,0,0,0,0,0,17001
0,310301,310201,se_miss,se_miss,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,311101,311001,se_mp_recovery,콤보 MP보너스  +0.1%,1,0,0,0,311001,0,0,0,0,0,0,0,0,17001
0,311202,311002,se_mp_recovery,콤보 MP보너스  +0.2%,1,0,0,0,311002,0,0,0,0,0,0,0,0,17001
0,311303,311003,se_mp_recovery,콤보 MP보너스  +0.3%,1,0,0,0,311003,0,0,0,0,0,0,0,0,17001
0,311404,311004,se_mp_recovery,콤보 MP보너스  +0.4%,1,0,0,0,311004,0,0,0,0,0,0,0,0,17001
0,311505,311005,se_mp_recovery,콤보 MP보너스  +0.5%,1,0,0,0,311005,0,0,0,0,0,0,0,0,17001
0,311606,311006,se_mp_recovery,콤보 MP보너스  +0.6%,1,0,0,0,311006,0,0,0,0,0,0,0,0,17001
0,311707,311007,se_mp_recovery,콤보 MP보너스  +0.7%,1,0,0,0,311007,0,0,0,0,0,0,0,0,17001
0,311808,311008,se_mp_recovery,콤보 MP보너스  +0.8%,1,0,0,0,311008,0,0,0,0,0,0,0,0,17001
0,311909,311009,se_mp_recovery,콤보 MP보너스  +0.9%,1,0,0,0,311009,0,0,0,0,0,0,0,0,17001
0,312010,311010,se_mp_recovery,콤보 MP보너스  +1.0%,1,0,0,0,311010,0,0,0,0,0,0,0,0,17001
0,312111,311011,se_mp_recovery,콤보 MP보너스  +1.1%,1,0,0,0,311011,0,0,0,0,0,0,0,0,17001
0,312212,311012,se_mp_recovery,콤보 MP보너스  +1.2%,1,0,0,0,311012,0,0,0,0,0,0,0,0,17001
0,312313,311013,se_mp_recovery,콤보 MP보너스  +1.3%,1,0,0,0,311013,0,0,0,0,0,0,0,0,17001
0,312414,311014,se_mp_recovery,콤보 MP보너스  +1.4%,1,0,0,0,311014,0,0,0,0,0,0,0,0,17001
0,312515,311015,se_mp_recovery,콤보 MP보너스  +1.5%,1,0,0,0,311015,0,0,0,0,0,0,0,0,17001
0,312616,311016,se_mp_recovery,콤보 MP보너스  +1.6%,1,0,0,0,311016,0,0,0,0,0,0,0,0,17001
0,312717,311017,se_mp_recovery,콤보 MP보너스  +1.7%,1,0,0,0,311017,0,0,0,0,0,0,0,0,17001
0,312818,311018,se_mp_recovery,콤보 MP보너스  +1.8%,1,0,0,0,311018,0,0,0,0,0,0,0,0,17001
0,312919,311019,se_mp_recovery,콤보 MP보너스  +1.9%,1,0,0,0,311019,0,0,0,0,0,0,0,0,17001
0,313020,311020,se_mp_recovery,콤보 MP보너스  +2.0%,1,0,0,0,311020,0,0,0,0,0,0,0,0,17001
0,314005,314005,se_unrivaled,커뮤니티 이벤트 시작시 무적 이펙트 -5 초,5,300,5000,0,314005,0,0,0,0,0,0,0,0,17001
0,314010,314010,se_unrivaled,커뮤니티 이벤트 시작시 무적 이펙트 -10 초,5,300,10000,0,314010,0,0,0,0,0,0,0,0,17001
0,314015,314015,se_unrivaled,커뮤니티 이벤트 시작시 무적 이펙트 -15 초,5,300,15000,0,314015,0,0,0,0,0,0,0,0,17001
0,314020,314020,se_unrivaled,커뮤니티 이벤트 시작시 무적 이펙트 -20 초,5,300,20000,0,314020,0,0,0,0,0,0,0,0,17001
0,403401,403401,0,점프 강제 금지,2,0,10000,0,403401,0,0,0,0,0,0,0,0,17001
0,403402,403401,0,점프 강제 금지,2,0,15000,0,403402,0,0,0,0,0,0,0,0,17001
0,403403,403401,0,점프 강제 금지,2,0,20000,0,403403,0,0,0,0,0,0,0,0,17001
0,403404,403401,0,점프 강제 금지,2,0,25000,0,403404,0,0,0,0,0,0,0,0,17001
0,403405,403401,0,점프 강제 금지,2,0,30000,0,403405,0,0,0,0,0,0,0,0,17001
0,403406,403401,0,점프 강제 금지,2,0,35000,0,403406,0,0,0,0,0,0,0,0,17001
0,403407,403401,0,점프 강제 금지,2,0,40000,0,403407,0,0,0,0,0,0,0,0,17001
0,403408,403401,0,점프 강제 금지,2,0,45000,0,403408,0,0,0,0,0,0,0,0,17001
0,403409,403401,0,점프 강제 금지,2,0,50000,0,403409,0,0,0,0,0,0,0,0,17001
0,403410,403401,0,점프 강제 금지,2,0,55000,0,403410,0,0,0,0,0,0,0,0,17001
0,403411,403401,0,점프 강제 금지,2,0,60000,0,403411,0,0,0,0,0,0,0,0,17001
0,403412,403401,0,점프 강제 금지,2,0,65000,0,403412,0,0,0,0,0,0,0,0,17001
0,403413,403401,0,점프 강제 금지,2,0,70000,0,403413,0,0,0,0,0,0,0,0,17001
0,403414,403401,0,점프 강제 금지,2,0,75000,0,403414,0,0,0,0,0,0,0,0,17001
0,403415,403401,0,점프 강제 금지,2,0,80000,0,403415,0,0,0,0,0,0,0,0,17001
0,403501,403501,0,대쉬 강제 금지,2,0,10000,0,403501,0,0,0,0,0,0,0,0,17001
0,403502,403501,0,대쉬 강제 금지,2,0,15000,0,403502,0,0,0,0,0,0,0,0,17001
0,403503,403501,0,대쉬 강제 금지,2,0,20000,0,403503,0,0,0,0,0,0,0,0,17001
0,403504,403501,0,대쉬 강제 금지,2,0,25000,0,403504,0,0,0,0,0,0,0,0,17001
0,403505,403501,0,대쉬 강제 금지,2,0,30000,0,403505,0,0,0,0,0,0,0,0,17001
0,403506,403501,0,대쉬 강제 금지,2,0,35000,0,403506,0,0,0,0,0,0,0,0,17001
0,403507,403501,0,대쉬 강제 금지,2,0,40000,0,403507,0,0,0,0,0,0,0,0,17001
0,403508,403501,0,대쉬 강제 금지,2,0,45000,0,403508,0,0,0,0,0,0,0,0,17001
