NationCodeStr,Memo,NpcGuid,Menu,OrderIndex,ItemNo,ItemCount,Gem1,GemCount1,Gem2,GemCount2,Gem3,GemCount3,Gem4,GemCount4,Gem5,GemCount5,
0,[01장신구교환] 하얀 추적자 언덕  3★ 빅토르 솔라링->3★ 고대카라차 솔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,1,121007030,1,121006030,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  4★ 빅토르 솔라링->4★ 고대카라차 솔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,2,121007040,1,121006040,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  5★ 빅토르 솔라링->5★ 고대카라차 솔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,3,121007050,1,121006050,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  6★ 빅토르 솔라링->6★ 고대카라차 솔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,4,121007060,1,121006060,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  7★ 빅토르 솔라링->7★ 고대카라차 솔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,5,121007070,1,121006070,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  8★ 빅토르 솔라링->8★ 고대카라차 솔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,6,121007080,1,121006080,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  9★ 빅토르 솔라링->9★ 고대카라차 솔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,7,121007090,1,121006090,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  10★ 빅토르 솔라링->10★ 고대카라차 솔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,8,121007100,1,121006100,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  11★ 빅토르 솔라링->11★ 고대카라차 솔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,9,121007110,1,121006110,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  12★ 빅토르 솔라링->12★ 고대카라차 솔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,10,121007120,1,121006120,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  13★ 빅토르 솔라링->13★ 고대카라차 솔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,11,121007130,1,121006130,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  14★ 빅토르 솔라링->14★ 고대카라차 솔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,12,121007140,1,121006140,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  15★ 빅토르 솔라링->15★ 고대카라차 솔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,13,121007150,1,121006150,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  3★ 빅토르 루나링->3★ 고대카라차 루나링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,14,121017030,1,121016030,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  4★ 빅토르 루나링->4★ 고대카라차 루나링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,15,121017040,1,121016040,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  5★ 빅토르 루나링->5★ 고대카라차 루나링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,16,121017050,1,121016050,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  6★ 빅토르 루나링->6★ 고대카라차 루나링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,17,121017060,1,121016060,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  7★ 빅토르 루나링->7★ 고대카라차 루나링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,18,121017070,1,121016070,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  8★ 빅토르 루나링->8★ 고대카라차 루나링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,19,121017080,1,121016080,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  9★ 빅토르 루나링->9★ 고대카라차 루나링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,20,121017090,1,121016090,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  10★ 빅토르 루나링->10★ 고대카라차 루나링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,21,121017100,1,121016100,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  11★ 빅토르 루나링->11★ 고대카라차 루나링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,22,121017110,1,121016110,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  12★ 빅토르 루나링->12★ 고대카라차 루나링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,23,121017120,1,121016120,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  13★ 빅토르 루나링->13★ 고대카라차 루나링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,24,121017130,1,121016130,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  14★ 빅토르 루나링->14★ 고대카라차 루나링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,25,121017140,1,121016140,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  15★ 빅토르 루나링->15★ 고대카라차 루나링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,26,121017150,1,121016150,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  3★ 빅토르 스텔라링->3★ 고대카라차 스텔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,27,121027030,1,121026030,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  4★ 빅토르 스텔라링->4★ 고대카라차 스텔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,28,121027040,1,121026040,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  5★ 빅토르 스텔라링->5★ 고대카라차 스텔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,29,121027050,1,121026050,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  6★ 빅토르 스텔라링->6★ 고대카라차 스텔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,30,121027060,1,121026060,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  7★ 빅토르 스텔라링->7★ 고대카라차 스텔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,31,121027070,1,121026070,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  8★ 빅토르 스텔라링->8★ 고대카라차 스텔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,32,121027080,1,121026080,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  9★ 빅토르 스텔라링->9★ 고대카라차 스텔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,33,121027090,1,121026090,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  10★ 빅토르 스텔라링->10★ 고대카라차 스텔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,34,121027100,1,121026100,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  11★ 빅토르 스텔라링->11★ 고대카라차 스텔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,35,121027110,1,121026110,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  12★ 빅토르 스텔라링->12★ 고대카라차 스텔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,36,121027120,1,121026120,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  13★ 빅토르 스텔라링->13★ 고대카라차 스텔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,37,121027130,1,121026130,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  14★ 빅토르 스텔라링->14★ 고대카라차 스텔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,38,121027140,1,121026140,3,50903930,15,0,0,0,0,0,0,
0,[01장신구교환] 하얀 추적자 언덕  15★ 빅토르 스텔라링->15★ 고대카라차 스텔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,1,39,121027150,1,121026150,3,50903930,15,0,0,0,0,0,0,
0,[02장신구강화] 하얀 추적자 언덕1★ 빅토르 솔라링->2★ 빅토르 솔라링,29D049C8-31D7-4F35-A4B3-02507D23AE1F,2,1,121006020,1,121006010,2,50903930,15,0,0,0,0,0,0,
