"f_NationCodeStr","ItemAbilNo","Memo","Type01","Value01","Type02","Value02","Type03","Value03","Type04","Value04","Type05","Value05","Type06","Value06","Type07","Value07","Type08","Value08","Type09","Value09","Type10","Value10"
"0","333110019","정령이 깃든 건틀렛","7231","463","7221","579","7341","253","7331","308","0","0","0","0","0","0","0","0","0","0","0","0"
"0","333110029","다크 소울 건틀릿","7231","749","7221","937","7341","409","7331","499","0","0","0","0","0","0","0","0","0","0","0","0"
"0","333110039","염왕 건틀렛","7231","1156","7221","1446","7341","631","7331","770","0","0","0","0","0","0","0","0","0","0","0","0"
"0","333110059","매직헨지 건틀렛","7231","1312","7221","1641","7341","716","7331","874","0","0","0","0","0","0","0","0","0","0","0","0"
"0","333110069","언데드본의 건틀렛","7231","1497","7221","1873","7341","817","7331","997","0","0","0","0","0","0","0","0","0","0","0","0"
"0","333110079","자우하란트 건틀렛","7231","1905","7221","2383","7341","1040","7331","1269","0","0","0","0","0","0","0","0","0","0","0","0"
"0","333110089","흑룡왕 건틀렛","7231","2220","7221","2777","7341","1212","7331","1479","0","0","0","0","0","0","0","0","0","0","0","0"
"0","333110109","물의 신전 건틀렛","7231","463","7221","579","7341","253","7331","308","0","0","0","0","0","0","0","0","0","0","0","0"
"0","333110129","40속성 건틀렛","7231","949","7221","1137","7341","609","7331","699","0","0","0","0","0","0","0","0","0","0","0","0"
"0","333110189","흑룡왕 건틀렛-속성","7231","2420","7221","2977","7341","1412","7331","1679","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000010","[일반] 격투가 무기 레벨1","7231","77","7221","96","7341","42","7331","51","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000020","[일반] 격투가 무기 레벨2","7231","82","7221","103","7341","45","7331","55","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000030","[일반] 격투가 무기 레벨3","7231","86","7221","108","7341","47","7331","57","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000040","[일반] 격투가 무기 레벨4","7231","91","7221","114","7341","50","7331","61","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000050","[일반] 격투가 무기 레벨5","7231","99","7221","124","7341","54","7331","66","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000060","[일반] 격투가 무기 레벨6","7231","106","7221","133","7341","58","7331","71","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000070","[일반] 격투가 무기 레벨7","7231","115","7221","144","7341","63","7331","77","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000080","[일반] 격투가 무기 레벨8","7231","125","7221","156","7341","68","7331","83","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000090","[일반] 격투가 무기 레벨9","7231","135","7221","169","7341","74","7331","90","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000100","[일반] 격투가 무기 레벨10","7231","146","7221","183","7341","80","7331","97","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000110","[일반] 격투가 무기 레벨11","7231","157","7221","196","7341","86","7331","105","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000120","[일반] 격투가 무기 레벨12","7231","168","7221","210","7341","92","7331","112","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000130","[일반] 격투가 무기 레벨13","7231","180","7221","225","7341","98","7331","120","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000140","[일반] 격투가 무기 레벨14","7231","193","7221","241","7341","105","7331","129","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000150","[일반] 격투가 무기 레벨15","7231","206","7221","258","7341","112","7331","137","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000160","[일반] 격투가 무기 레벨16","7231","220","7221","275","7341","120","7331","147","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000170","[일반] 격투가 무기 레벨17","7231","234","7221","293","7341","128","7331","156","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000180","[일반] 격투가 무기 레벨18","7231","249","7221","312","7341","136","7331","166","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000190","[일반] 격투가 무기 레벨19","7231","264","7221","330","7341","144","7331","176","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000200","[일반] 격투가 무기 레벨20","7231","279","7221","349","7341","152","7331","186","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000210","[일반] 격투가 무기 레벨21","7231","295","7221","369","7341","161","7331","197","0","0","0","0","0","0","0","0","0","0","0","0"
"0","430000220","[일반] 격투가 무기 레벨22","7231","312","7221","390","7341","170","7331","208","0","0","0","0","0","0","0","0","0","0","0","0"
