"f_NationCodeStr","ItemAbilNo","Memo","Type01","Value01","Type02","Value02","Type03","Value03","Type04","Value04","Type05","Value05","Type06","Value06","Type07","Value07","Type08","Value08","Type09","Value09","Type10","Value10"
"0","50601950","반클리프펫_본드레곤알(7)","5001","50601951","5015","4","5019","52","563","99","5020","50601950","563","99","0","0","5010","999","0","0","2025","1"
"0","50601960","반클리프펫_본드레곤(7)","5001","50601961","5015","4","5019","53","5002","67108864","5004","67108864","1100","1012","0","0","5014","50","0","0","2025","1"
"0","65000850","건조 사료","5001","65000851","5007","0","5010","250","5014","100000001","5015","15","2071","400006","2051","0","0","0","0","0","0","0"
"0","65000852","건조 사료","5019","58","5023","1","4101","400","4102","-100","4103","-50","0","0","0","0","0","0","0","0","0","0"
"0","65000860","고급 건조 사료","5001","65000861","5007","0","5010","250","5014","100000001","5015","15","2071","400006","0","0","0","0","0","0","0","0"
"0","65000862","고급 건조 사료","5019","58","5023","1","4101","600","4102","-100","4103","-50","0","0","0","0","0","0","0","0","0","0"
"0","65000870","말린 단백질 캡슐","5001","65000871","5007","0","5010","250","5014","100000001","5015","15","2071","400006","0","0","0","0","0","0","0","0"
"0","65000872","말린 단백질 캡슐","5019","58","5023","2","4102","400","4103","-100","4101","-200","0","0","0","0","0","0","0","0","0","0"
"0","65000880","하이퍼 단백질 캡슐","5001","65000881","5007","0","5010","250","5014","100000001","5015","15","2071","400006","0","0","0","0","0","0","0","0"
"0","65000882","하이퍼 단백질 캡슐","5019","58","5023","2","4102","600","4103","-100","4101","-200","0","0","0","0","0","0","0","0","0","0"
"0","65000890","놀이 기구","5001","65000891","5007","0","5010","250","5014","100000001","5015","15","2071","400006","0","0","0","0","0","0","0","0"
"0","65000892","놀이 기구","5019","58","5023","3","4103","300","0","0","4102","-100","0","0","0","0","0","0","0","0","0","0"
"0","65000900","건조 사료 레시피","5001","65000901","5007","0","5010","250","5014","100000001","5015","15","2071","400007","5018","1","0","0","0","0","0","0"
"0","65000910","말리 단백질 레시피","5001","65000911","5007","0","5010","250","5014","100000001","5015","15","2071","400007","5018","1","0","0","0","0","0","0"
"0","65000920","활력 드링크","5001","65000921","5007","0","5010","250","5014","100000001","5015","15","2071","400006","5019","58","5023","6","105","100","0","0"
"0","65000930","생력 드링크","5001","65000931","5007","0","5010","250","5014","100000001","5015","15","2071","400006","5019","58","5023","6","105","2000000000","0","0"
"0","65000940","소생환","5001","65000941","5007","0","5010","250","5014","100000001","5015","15","2071","400006","5019","58","5023","4","0","0","0","0"
"0","65000942","소생환","4101","10000","4102","10000","4103","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","65000950","올 프래쉬 드링크","5001","65000951","5007","0","5010","250","5014","100000001","5015","15","2071","400006","5019","58","5023","5","0","0","0","0"
"0","65000952","올 프래쉬 드링크","4101","10000","4102","10000","4103","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","65000960","[성장 펫] 푸얀 킹 상의","5001","65000961","5007","0","5010","250","5014","80","5015","15","2071","400002","2022","514","5002","16777216","4051","500","5019","82"
"0","65000970","[성장 펫] 푸얀 얼룩말 상의","5001","65000971","5007","0","5010","250","5014","80","5015","15","2071","400002","2022","514","5002","16777216","4052","500","5019","82"
"0","65000980","[성장 펫] 핑마오 골드 쫄쫄이 상의","5001","65000981","5007","0","5010","250","5014","80","5015","15","2071","400002","2022","514","5002","16777216","4051","500","5019","82"
"0","65000990","[성장 펫] 핑마오 노란색검은줄무니 쫄쫄이 상의","5001","65000991","5007","0","5010","250","5014","80","5015","15","2071","400002","2022","514","5002","16777216","4052","500","5019","82"
"0","65001000","[성장 펫] 레오 붉은빛깔 실크망토 상의","5001","65001001","5007","0","5010","250","5014","80","5015","15","2071","400002","2022","514","5002","16777216","4051","500","5019","82"
