f_NationCodeStr,BagNo,Level,Memo,ElementsNo,SuccessRateControlNo,CountControlNo,DropMoneyControlNo
0,0,1,0번,0,0,0,0
0,1,1,아이템제련 옵션붙을 확률1[Success],0,1,0,0
0,2,1,"아이템제련 옵션붙을 확률2[Success],[Count]",0,2,2,0
0,3,1,"몬 (몬스터 가방)[Success],[Count]",0,3,3,0
0,4,1,"몬 (대필드 난이도별 백)[Success],[Count]",0,4,4,0
0,5,1,"몬 (소필드 일반 백 1)[Success],[Count]",0,5,5,0
0,6,1,"몬 (소필드 일반 백 2)[Success],[Count]",0,6,6,0
0,7,1,"몬 (소필드 일반 백 3)[Success],[Count]",0,7,7,0
0,8,1,"몬[Success],[Count]",0,8,8,0
0,9,1,"saphire (몬스터 백 기본 드랍 타입 1)[Success],[Count]",0,9,9,0
0,10,1,"몬스터테스트 (몬스터 백 기본 드랍 타입 2)[Success],[Count]",0,10,10,0
0,11,1,"정예 (몬스터 백 기본 드랍 타입 3)[Success],[Count]",0,11,11,0
0,12,1,"맵별몬스터 4단 (몬스터 백 기본 드랍 타입 4)[Success],[Count]",0,12,12,0
0,13,1,"맵별몬스터 기본 (2칸에 1칸 꽝)[Success],[Count]",0,13,13,0
0,14,1,"몬스터 백 (1칸에 1칸 꽝)[Success],[Count]",0,14,14,0
0,15,1,"대필드 난이도별 백 (4칸에 1칸 꽝)[Success],[Count]",0,15,15,0
0,16,1,"소필드 일반 백 1 (5칸에 1칸 꽝)[Success],[Count]",0,16,16,0
0,17,1,소필드 일반 백 2,0,17,0,0
0,18,1,소필드 일반 백 3,0,18,0,0
0,19,1,소필드 일반 백 4,0,19,0,0
0,20,1,몬스터 백 기본 드랍 타입 1,0,20,0,0
0,21,1,몬스터 백 기본 드랍 타입 2,0,21,0,0
0,22,1,몬스터 백 기본 드랍 타입 3,0,22,0,0
0,23,1,몬스터 백 기본 드랍 타입 4,0,23,0,0
0,24,1,맵별 몬스터 리젠 샘플 1,0,24,0,0
0,25,1,맵별 몬스터 리젠 샘플 1,0,25,0,0
0,26,1,맵별 몬스터 리젠 샘플 2,0,26,0,0
0,27,1,맵별 몬스터 리젠 샘플 2,0,27,0,0
0,28,1,맵별 몬스터 리젠 샘플 3,0,28,0,0
0,29,1,맵별 몬스터 리젠 샘플 3,0,29,0,0
0,30,1,맵별 몬스터 리젠 샘플 4,0,30,0,0
0,31,1,맵별 몬스터 리젠 샘플 4,0,31,0,0
0,32,1,2칸에 1칸 꽝,0,32,0,0
0,33,1,1칸에 1칸 꽝,0,33,0,0
0,34,1,4칸에 1칸 꽝,0,34,0,0
0,35,1,5칸에 1칸 꽝,0,35,0,0
0,36,1,미션 10칸 짜리,0,36,0,0
0,37,1,맵 장비 백 1,0,37,0,0
0,38,1,맵 장비 백 2,0,38,0,0
0,39,1,펫_아이템제련 옵션붙을 확률1,0,39,0,0
0,40,1,펫_아이템제련 옵션붙을 확률2,0,40,0,0
0,42,1,액세서리 스킬 확장 +2,42,42,42,0
0,43,1,액세서리 스킬 확장 +3,43,43,43,0
0,245,1,갈기늑대 기본 드랍,0,0,0,245
0,246,1,그리드 단장 아티스 기본 드랍,0,0,0,246
0,247,1,그리드 적기사 기본 드랍,0,0,0,247
0,248,1,그리드 청기사 기본 드랍,0,0,0,248
0,249,1,그림자 맨 기본 드랍,0,0,0,249
0,250,1,까칠한 초목이 기본 드랍,0,0,0,250
