f_NationCodeStr,BagNo,Memo,ItemNo01,ItemNo02,ItemNo03,ItemNo04,ItemNo05,ItemNo06,ItemNo07,ItemNo08,ItemNo09,ItemNo10,ItemNoTypeFlag
0,0,0번,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42,액세서리 스킬 확장 +2,0,0,0,0,0,0,0,0,0,0,0
0,43,액세서리 스킬 확장 +3,0,0,0,0,0,0,0,0,0,0,0
0,1007,돈 드랍,0,0,0,0,0,0,0,0,0,0,0
0,1800,돈 드랍,79000030,0,0,0,0,0,0,0,0,0,0
0,1900,돈 드랍,79000040,0,0,0,0,0,0,0,0,0,0
0,3010,돈 드랍,80101020,80102000,80104000,80105020,80106010,80107020,80108020,80801030,80801040,80801050,0
0,3020,돈 드랍,50100020,50100040,0,0,0,0,0,0,0,0,0
0,4010,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,0,0,0,0
0,4020,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,0,0,0,0
0,4030,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,0,0,0,0
0,4040,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,0,0,0,0
0,4050,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,0,0,0,0
0,4060,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,0,0,0,0
0,4070,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,0,0,0,0
0,4080,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4090,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4100,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4110,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4120,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4130,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4140,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4141,[궤짝그룹확률] 은 궤짝 LV.3,0,0,0,0,0,0,0,0,0,0,0
0,4150,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4151,[궤짝그룹확률] 금 궤짝 LV.3,0,0,0,0,0,0,0,0,0,0,0
0,4160,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4170,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4171,[궤짝그룹확률] 청동 궤짝 LV.4,0,0,0,0,0,0,0,0,0,0,0
0,4180,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4181,[궤짝그룹확률] 구리 궤짝 LV.4,0,0,0,0,0,0,0,0,0,0,0
0,4190,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4191,[궤짝그룹확률] 은 궤짝 LV.4,0,0,0,0,0,0,0,0,0,6,0
0,4200,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4201,[궤짝그룹확률] 금 궤짝 LV.4,0,0,0,0,0,0,0,0,0,0,0
0,4210,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4211,[궤짝그룹확률] 최고급 나무 궤짝 51~60레벨,0,0,0,0,0,0,0,0,0,0,0
0,4220,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4221,[궤짝그룹확률] 청동 궤짝 LV.5,0,0,0,0,0,0,0,0,0,0,0
0,4230,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4231,[궤짝그룹확률] 구리 궤짝 LV.5,0,0,0,0,0,0,0,0,0,0,0
0,4240,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4241,[궤짝그룹확률] 은 궤짝 LV.5,0,0,0,0,0,0,0,0,0,0,0
0,4250,돈 드랍,50110010,50110020,50110010,50110020,50110010,50110020,50110090,50110100,50110090,50110100,0
0,4251,[궤짝그룹확률] 금 궤짝 LV.5,0,0,0,0,0,0,0,0,0,0,0
0,4260,"[궤짝그룹확률] 나무 궤짝 LV.6 [63~74,100]",0,0,0,0,0,0,0,0,0,0,0
0,4270,"[궤짝그룹확률] 청동 궤짝 LV.6 [63~74,300]",0,0,0,0,0,0,0,0,0,0,0
0,4280,"[궤짝그룹확률] 구리 궤짝 LV.6 [63~74,500]",0,0,0,0,0,0,0,0,0,0,0
0,4290,"[궤짝그룹확률] 은 궤짝 LV.6 [63~74,700]",0,0,0,0,0,0,0,0,0,0,0
0,4300,"[궤짝그룹확률] 금 궤짝 LV.6 [63~74,1000]",0,0,0,0,0,0,0,0,0,0,0
0,10001,베가본드 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10002,베가스 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10003,마할카 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10004,투투 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10005,압둘라 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10006,알비다 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10007,데스마스터 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10008,그린들 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10009,삼바바 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10010,반디 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10011,우마이 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10012,켄타우루스 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
