f_NationCodeStr,BagGroupNo,Memo,SuccessRateNo,BagNo01,BagNo02,BagNo03,BagNo04,BagNo05,BagNo06,BagNo07,BagNo08,BagNo09,BagNo10
0,0,블랙홀,0,0,0,0,0,0,0,0,0,0,0
0,10010,악마의 영혼석,1,100001,0,0,0,0,0,0,0,0,0
0,10020,라발론의 던전,1,22000010,0,0,0,0,0,0,0,0,0
0,10030,라발론 방,1,22000020,0,0,0,0,0,0,0,0,0
0,10040,아람의 던전,1,22000030,0,0,0,0,0,0,0,0,0
0,10050,아람 방,1,22000040,0,0,0,0,0,0,0,0,0
63,10060,하드던전 테스트용,1,22000050,0,0,0,0,0,0,0,0,0
0,40010,최하급 나무 궤짝 1~12레벨,4010,1000061,100000,7000004,57000030,1000010,1000020,1000030,1000040,1000050,0
0,40011,최하급 나무 궤짝 1~12레벨,4010,1000061,100000,7000004,57000032,1000010,1000020,1000030,1000040,1000050,0
1/2/6/9/23,40011,최하급 나무 궤짝 1~12레벨,4010,1000061,100000,7000004,1000061,1000010,1000020,1000030,1000040,1000050,0
0,40020,청동 궤짝 LV.1,4020,1000061,100000,7000004,57000030,1000160,1000200,1000240,1000190,1000200,0
0,40021,청동 궤짝 LV.1,4020,1000061,100000,7000004,57000032,530010,550010,570010,550010,550010,0
1/2/6/9/23,40021,청동 궤짝 LV.1,4020,1000061,100000,7000004,1000061,530010,550010,570010,550010,550010,0
0,40030,구리 궤짝 LV.1,4030,1000061,100000,7000004,57000030,1000170,1000210,1000250,1000240,1000250,0
0,40031,구리 궤짝 LV.1,4030,1000061,100000,7000004,57000032,530010,550010,570010,580020,530010,0
1/2/6/9/23,40031,구리 궤짝 LV.1,4030,1000061,100000,7000004,1000061,530010,550010,570010,580020,530010,0
0,40040,은 궤짝 LV.1,4040,1000061,100000,7000004,57000030,1000180,1000220,1000260,1000260,1000270,0
0,40041,은 궤짝 LV.1,4040,1000061,100000,7000004,57000032,530010,510020,550010,510020,510020,0
1/2/6/9/23,40041,은 궤짝 LV.1,4040,1000061,100000,7000004,1000061,530010,510020,550010,510020,510020,0
0,40050,금 궤짝 LV.1,4050,1000061,100000,7000004,57000030,1000190,1000230,1000270,1000250,1000260,0
0,40051,금 궤짝 LV.1,4050,1000061,100000,7000004,57000032,530020,550020,570020,580050,550020,0
1/2/6/9/23,40051,금 궤짝 LV.1,4050,1000061,100000,7000004,1000061,530020,550020,570020,580050,550020,0
0,40060,하급 나무 궤짝 13~24레벨,4060,1000071,100000,7000006,57000040,1000290,1000340,1000390,1000440,1000490,1000270
0,40061,하급 나무 궤짝 13~24레벨,4060,1000071,100000,7000006,57000040,530030,530030,530030,550030,570030,510030
1/2/6/9/23,40061,하급 나무 궤짝 13~24레벨,4060,1000071,100000,7000006,1000071,530030,530030,530030,550030,570030,510030
0,40070,청동 궤짝 LV.2,4070,1000071,100000,7000006,57000040,1000300,1000350,1000400,1000450,1000500,1000280
0,40071,청동 궤짝 LV.2,4070,1000071,100000,7000006,57000040,520040,520050,540040,540050,560040,540040
1/2/6/9/23,40071,청동 궤짝 LV.2,4070,1000071,100000,7000006,1000071,520040,520050,540040,540050,560040,540040
0,40080,구리 궤짝 LV.2,4080,1000071,100000,7000006,57000040,1000310,1000360,1000410,1000460,1000510,1000290
0,40081,구리 궤짝 LV.2,4080,1000071,100000,7000006,57000040,530040,530050,550040,570040,580080,530040
1/2/6/9/23,40081,구리 궤짝 LV.2,4080,1000071,100000,7000006,1000071,530040,530050,550040,570040,580080,530040
