IDX,f_NationCodeStr,ContainerNo,Memo,SuccessRateControlNo,BagGrpNo01,BagGrpNo02,BagGrpNo03,BagGrpNo04,BagGrpNo05,BagGrpNo06,BagGrpNo07,BagGrpNo08,BagGrpNo09,BagGrpNo10,RewardItem
1,63,40300,[1혼돈]크리스탈 Lv1~12 (블루),50903600,40300,0,0,0,0,0,0,0,0,0,0
2,63,40301,[1혼돈]크리스탈 Lv1~12 (스카이),50903601,40300,0,0,0,0,0,0,0,0,0,0
3,63,40302,[1혼돈]크리스탈 Lv1~12 (퍼플),50903602,40300,0,0,0,0,0,0,0,0,0,0
4,63,40303,[1혼돈]크리스탈 Lv1~12 (그린),50903603,40300,0,0,0,0,0,0,0,0,0,0
5,63,40304,[1혼돈]크리스탈 Lv1~12 (핑크),50903604,40300,0,0,0,0,0,0,0,0,0,0
6,63,40310,[1혼돈]크리스탈 Lv13~24 (블루),50903600,40301,0,0,0,0,0,0,0,0,0,0
7,63,40311,[1혼돈]크리스탈 Lv13~24 (스카이),50903601,40301,0,0,0,0,0,0,0,0,0,0
8,63,40312,[1혼돈]크리스탈 Lv13~24 (퍼플),50903602,40301,0,0,0,0,0,0,0,0,0,0
9,63,40313,[1혼돈]크리스탈 Lv13~24 (그린),50903603,40301,0,0,0,0,0,0,0,0,0,0
10,63,40314,[1혼돈]크리스탈 Lv13~24 (핑크),50903604,40301,0,0,0,0,0,0,0,0,0,0
11,63,40320,[1혼돈]크리스탈 Lv25~37 (블루),50903600,40302,0,0,0,0,0,0,0,0,0,0
12,63,40321,[1혼돈]크리스탈 Lv25~37 (스카이),50903601,40302,0,0,0,0,0,0,0,0,0,0
13,63,40322,[1혼돈]크리스탈 Lv25~37 (퍼플),50903602,40302,0,0,0,0,0,0,0,0,0,0
14,63,40323,[1혼돈]크리스탈 Lv25~37 (그린),50903603,40302,0,0,0,0,0,0,0,0,0,0
15,63,40324,[1혼돈]크리스탈 Lv25~37 (핑크),50903604,40302,0,0,0,0,0,0,0,0,0,0
16,63,40330,[1혼돈]크리스탈 Lv38~50 (블루),50903600,40303,0,0,0,0,0,0,0,0,0,0
17,63,40331,[1혼돈]크리스탈 Lv38~50 (스카이),50903601,40303,0,0,0,0,0,0,0,0,0,0
18,63,40332,[1혼돈]크리스탈 Lv38~50 (퍼플),50903602,40303,0,0,0,0,0,0,0,0,0,0
19,63,40333,[1혼돈]크리스탈 Lv38~50 (그린),50903603,40303,0,0,0,0,0,0,0,0,0,0
20,63,40334,[1혼돈]크리스탈 Lv38~50 (핑크),50903604,40303,0,0,0,0,0,0,0,0,0,0
21,63,40340,[1혼돈]크리스탈 Lv51~ (블루),50903600,40304,0,0,0,0,0,0,0,0,0,0
22,63,40341,[1혼돈]크리스탈 Lv51~ (스카이),50903601,40304,0,0,0,0,0,0,0,0,0,0
23,63,40342,[1혼돈]크리스탈 Lv51~ (퍼플),50903602,40304,0,0,0,0,0,0,0,0,0,0
24,63,40343,[1혼돈]크리스탈 Lv51~ (그린),50903603,40304,0,0,0,0,0,0,0,0,0,0
25,63,40344,[1혼돈]크리스탈 Lv51~ (핑크),50903604,40304,0,0,0,0,0,0,0,0,0,0
26,63,40350,[일반]크리스탈 Lv1~12,1,40350,0,0,0,0,0,0,0,0,0,0
27,63,40351,[일반]크리스탈 Lv13~24,1,40351,0,0,0,0,0,0,0,0,0,0
28,63,40352,[일반]크리스탈 Lv25~37,1,40352,0,0,0,0,0,0,0,0,0,0
29,63,40353,[일반]크리스탈 Lv38~50,1,40353,0,0,0,0,0,0,0,0,0,0
30,63,40354,[일반]크리스탈 Lv51~,1,40354,0,0,0,0,0,0,0,0,0,0
31,63,40360,[무기]크리스탈 Lv1~12,1,40360,0,0,0,0,0,0,0,0,0,0
32,63,40361,[무기]크리스탈 Lv13~24,1,40361,0,0,0,0,0,0,0,0,0,0
33,63,40362,[무기]크리스탈 Lv25~37,1,40362,0,0,0,0,0,0,0,0,0,0
34,63,40363,[무기]크리스탈 Lv38~50,1,40363,0,0,0,0,0,0,0,0,0,0
35,63,40364,[무기]크리스탈 Lv51~,1,40364,0,0,0,0,0,0,0,0,0,0
36,63,40370,히든보상/ 음식 10~,1,40370,0,0,0,0,0,0,0,0,0,0
37,0,101010,바람평원 난이도 1 SSS,40001,60000110,710020,710030,710040,710050,710010,0,0,0,0,50902010
38,0,101020,바람평원 난이도 1 SS,40001,60000110,710020,710030,710040,710050,710010,0,0,0,0,50902020
39,0,101030,바람평원 난이도 1 S,40001,60000110,710020,710030,710040,710050,710010,0,0,0,0,50902030
40,0,101040,바람평원 난이도 1 A,40002,60000110,710020,710030,710040,710050,710010,0,0,0,0,50902040
41,0,101050,바람평원 난이도 1 B,40003,60000110,710020,710030,710040,710050,710010,0,0,0,0,50902050
42,0,101060,바람평원 난이도 1 C,40004,60000110,710020,710030,710040,710050,710010,0,0,0,0,50902060
43,0,101070,바람평원 난이도 1 D,40005,60000110,710020,710030,710040,710050,710010,0,0,0,0,50902070
44,0,101080,바람평원 난이도 1 E,40006,60000110,710020,710030,710040,710050,710010,0,0,0,0,0
45,0,101090,바람평원 난이도 1 F,40007,60000110,710020,710030,710040,710050,710010,0,0,0,0,0
46,0,101100,바람평원 난이도 2 SSS,40008,60000120,710170,710180,710160,0,0,0,0,0,0,50902010
47,0,101110,바람평원 난이도 2 SS,40008,60000120,710170,710180,710160,0,0,0,0,0,0,50902020
48,0,101120,바람평원 난이도 2 S,40008,60000120,710170,710180,710160,0,0,0,0,0,0,50902030
49,0,101130,바람평원 난이도 2 A,40009,60000120,710170,710180,710160,0,0,0,0,0,0,50902040
50,0,101140,바람평원 난이도 2 B,40010,60000120,710170,710180,710160,0,0,0,0,0,0,50902050
51,0,101150,바람평원 난이도 2 C,40011,60000120,710170,710180,710160,0,0,0,0,0,0,50902060
