f_NationCodeStr,OptionAbilNo,f_PieceCount,f_Order,Memo,Type01,Value01,Type02,Value02,Type03,Value03,Type04,Value04,Type05,Value05,Type06,Value06,Type07,Value07,Type08,Value08,Type09,Value09,Type10,Value10
0,101,3,1,전사 1차 세트,7192,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,101,6,1,전사 1차 세트,7061,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,102,3,1,영광의 파이터 세트,7001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,102,6,1,영광의 파이터 세트,7092,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,103,2,1,전사 3차 세트,7192,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,103,4,1,전사 3차 세트,7061,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,103,6,1,전사 3차 세트,7001,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,104,2,1,전사 4차 세트,7202,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,104,4,1,전사 4차 세트,7041,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,104,6,1,전사 4차 세트,7312,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,105,3,1,영광의 스파이크 세트,7041,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,105,6,1,영광의 스파이크 세트,7192,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,106,2,1,전사 6차 세트,7192,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,106,4,1,전사 6차 세트,7061,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,106,6,1,전사 6차 세트,7001,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,107,2,1,전사 7차 세트,7202,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,107,4,1,전사 7차 세트,7041,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,107,6,1,전사 7차 세트,7312,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,108,3,1,영광의 나이트 세트,7041,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,108,6,1,영광의 나이트 세트,7132,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,109,2,1,전사 9차 세트,7192,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,109,4,1,전사 9차 세트,7061,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,109,6,1,전사 9차 세트,7001,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,110,2,1,전사 10차 세트,7202,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,110,4,1,전사 10차 세트,7041,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,110,6,1,전사 10차 세트,7312,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,111,2,1,영광의 드레이크 세트,7041,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,111,4,1,영광의 드레이크 세트,7051,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,111,6,1,영광의 드레이크 세트,7102,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,112,2,1,전사 12차 세트,7192,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,112,3,1,전사 12차 세트,7061,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,112,5,1,전사 12차 세트,7001,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,112,6,1,전사 12차 세트,7091,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,113,2,1,전사 13차 세트,7202,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,113,3,1,전사 13차 세트,7041,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,113,5,1,전사 13차 세트,7312,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,113,6,1,전사 13차 세트,7131,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,114,2,1,영광의 임페리얼 세트,7041,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,114,3,1,영광의 임페리얼 세트,7051,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,114,5,1,영광의 임페리얼 세트,7001,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,114,6,1,영광의 임페리얼 세트,7021,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,115,2,1,전사 15차 세트,7192,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,115,3,1,전사 15차 세트,7061,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,115,5,1,전사 15차 세트,7001,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,115,6,1,전사 15차 세트,7091,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,116,2,1,전사 16차 세트,7202,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,116,3,1,전사 16차 세트,7041,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,116,5,1,전사 16차 세트,7312,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
