IDX,f_NationCodeStr,SetNo,Name,Memo,SetAbil01,SetAbil02,NeedItem01,NeedItem02,NeedItem03,NeedItem04,NeedItem05,NeedItem06,NeedItem07,NeedItem08,NeedItem09,NeedItem10
1,0,1,999,[일반세트] LV10 전사 1차 세트,101,0,41100010,41200010,41300010,41400010,41500010,41600010,0,0,0,0
2,0,2,999,[영광세트] LV14 영광의 파이터 세트,102,0,41100020,41200020,41300020,41400020,41500020,41600020,0,0,0,0
3,0,3,999,[일반세트] LV20 전사 3차 세트,103,0,41100030,41200030,41300030,41400030,41500030,41600030,0,0,0,0
4,0,4,999,[일반세트] LV20 전사 4차 세트,104,0,41100040,41200040,41300040,41400040,41500040,41600040,0,0,0,0
5,0,5,999,[영광세트] LV20 영광의 스파이크 세트,105,0,41100050,41200050,41300050,41400050,41500050,41600050,0,0,0,0
6,0,6,999,[일반세트] LV27 전사 6차 세트,106,0,41100060,41200060,41300060,41400060,41500060,41600060,0,0,0,0
7,0,7,999,[일반세트] LV27 전사 7차 세트,107,0,41100070,41200070,41300070,41400070,41500070,41600070,0,0,0,0
8,0,8,999,[영광세트] LV30 영광의 나이트 세트,108,0,41100080,41200080,41300080,41400080,41500080,41600080,0,0,0,0
9,0,9,999,[일반세트] LV34 전사 9차 세트,109,0,41100090,41200090,41300090,41400090,41500090,41600090,0,0,0,0
10,0,10,999,[일반세트] LV34 전사 10차 세트,110,0,41100100,41200100,41300100,41400100,41500100,41600100,0,0,0,0
11,0,11,999,[영광세트] LV40 영광의 드레이크 세트,111,0,41100110,41200110,41300110,41400110,41500110,41600110,0,0,0,0
12,0,12,999,[일반세트] LV40 전사 12차 세트,112,0,41100120,41200120,41300120,41400120,41500120,41600120,0,0,0,0
13,0,13,999,[일반세트] LV40 전사 13차 세트,113,0,41100130,41200130,41300130,41400130,41500130,41600130,0,0,0,0
14,0,14,999,[영광세트] LV50 영광의 임페리얼 세트,114,0,41100140,41200140,41300140,41400140,41500140,41600140,0,0,0,0
15,0,15,999,[일반세트] LV47 전사 15차 세트,115,0,41100150,41200150,41300150,41400150,41500150,41600150,0,0,0,0
16,0,16,999,[일반세트] LV47 전사 16차 세트,116,0,41100160,41200160,41300160,41400160,41500160,41600160,0,0,0,0
17,0,17,999,[영광세트] LV60 영광의 템플러 세트,117,0,41100170,41200170,41300170,41400170,41500170,41600170,0,0,0,0
18,0,18,999,[일반세트] LV54 전사 18차 세트,118,0,41100180,41200180,41300180,41400180,41500180,41600180,0,0,0,0
19,0,19,999,[일반세트] LV54 전사 19차 세트,119,0,41100190,41200190,41300190,41400190,41500190,41600190,0,0,0,0
20,0,20,999,[영광세트] LV57 전사 20차 세트,120,0,41100200,41200200,41300200,41400200,41500200,41600200,0,0,0,0
21,0,21,999,[일반세트] LV20 투사 3차 세트,121,0,42100010,42200010,42300010,42400010,42500010,42600010,0,0,0,0
22,0,22,999,[일반세트] LV20 투사 4차 세트,122,0,42100020,42200020,42300020,42400020,42500020,42600020,0,0,0,0
23,0,23,999,[영광세트] LV20 영광의 바이킹 세트,123,0,42100030,42200030,42300030,42400030,42500030,42600030,0,0,0,0
24,0,24,999,[일반세트] LV27 투사 6차 세트,124,0,42100040,42200040,42300040,42400040,42500040,42600040,0,0,0,0
25,0,25,999,[일반세트] LV27 투사 7차 세트,125,0,42100050,42200050,42300050,42400050,42500050,42600050,0,0,0,0
26,0,26,999,[영광세트] LV30 영광의 챔피온 세트,126,0,42100060,42200060,42300060,42400060,42500060,42600060,0,0,0,0
27,0,27,999,[일반세트] LV34 투사 9차 세트,127,0,42100070,42200070,42300070,42400070,42500070,42600070,0,0,0,0
28,0,28,999,[일반세트] LV34 투사 10차 세트,128,0,42100080,42200080,42300080,42400080,42500080,42600080,0,0,0,0
29,0,29,999,[영광세트] LV40 영광의 바바리안 세트,129,0,42100090,42200090,42300090,42400090,42500090,42600090,0,0,0,0
30,0,30,999,[일반세트] LV40 투사 12차 세트,130,0,42100100,42200100,42300100,42400100,42500100,42600100,0,0,0,0
31,0,31,999,[일반세트] LV40 투사 13차 세트,131,0,42100110,42200110,42300110,42400110,42500110,42600110,0,0,0,0
32,0,32,999,[영광세트] LV50 영광의 파괴자 세트,132,0,42100120,42200120,42300120,42400120,42500120,42600120,0,0,0,0
33,0,33,999,[일반세트] LV47 투사 15차 세트,133,0,42100130,42200130,42300130,42400130,42500130,42600130,0,0,0,0
34,0,34,999,[일반세트] LV47 투사 16차 세트,134,0,42100140,42200140,42300140,42400140,42500140,42600140,0,0,0,0
35,0,35,999,[영광세트] LV60 영광의 스파이럴 세트,135,0,42100150,42200150,42300150,42400150,42500150,42600150,0,0,0,0
36,0,36,999,[일반세트] LV54 투사 18차 세트,136,0,42100160,42200160,42300160,42400160,42500160,42600160,0,0,0,0
37,0,37,999,[일반세트] LV54 투사 19차 세트,137,0,42100170,42200170,42300170,42400170,42500170,42600170,0,0,0,0
38,0,38,999,[영광세트] LV57 투사 20차 세트,138,0,42100180,42200180,42300180,42400180,42500180,42600180,0,0,0,0
39,0,39,999,[일반세트] LV10 메지션 1차 세트,139,0,43100010,43200010,43300010,43400010,43500010,43600010,0,0,0,0
40,0,40,999,[영광세트] LV14 영광의 차일드 세트,140,0,43100020,43200020,43300020,43400020,43500020,43600020,0,0,0,0
41,0,41,999,[일반세트] LV20 메지션 3차 세트,141,0,43100030,43200030,43300030,43400030,43500030,43600030,0,0,0,0
42,0,42,999,[일반세트] LV20 메지션 4차 세트,142,0,43100040,43200040,43300040,43400040,43500040,43600040,0,0,0,0
43,0,43,999,[영광세트] LV20 영광의 실프 세트,143,0,43100050,43200050,43300050,43400050,43500050,43600050,0,0,0,0
44,0,44,999,[일반세트] LV27 메지션 6차 세트,144,0,43100060,43200060,43300060,43400060,43500060,43600060,0,0,0,0
45,0,45,999,[일반세트] LV27 메지션 7차 세트,145,0,43100070,43200070,43300070,43400070,43500070,43600070,0,0,0,0
46,0,46,999,[영광세트] LV30 영광의 페어리 세트,146,0,43100080,43200080,43300080,43400080,43500080,43600080,0,0,0,0
47,0,47,999,[일반세트] LV34 메지션 9차 세트,147,0,43100090,43200090,43300090,43400090,43500090,43600090,0,0,0,0
48,0,48,999,[일반세트] LV34 메지션 10차 세트,148,0,43100100,43200100,43300100,43400100,43500100,43600100,0,0,0,0
49,0,49,999,[영광세트] LV40 영광의 고스트메지션 세트,149,0,43100110,43200110,43300110,43400110,43500110,43600110,0,0,0,0
50,0,50,999,[일반세트] LV40 메지션 12차 세트,150,0,43100120,43200120,43300120,43400120,43500120,43600120,0,0,0,0
51,0,51,999,[일반세트] LV40 메지션 13차 세트,151,0,43100130,43200130,43300130,43400130,43500130,43600130,0,0,0,0
52,0,52,999,[영광세트] LV50 영광의 마도사 세트,152,0,43100140,43200140,43300140,43400140,43500140,43600140,0,0,0,0
53,0,53,999,[일반세트] LV47 메지션 15차 세트,153,0,43100150,43200150,43300150,43400150,43500150,43600150,0,0,0,0
