f_NationCodeStr,ItemNo,Name,ResNo,Memo,Type,Price,SellPrice,Attribute,Gender,LevelLimit,ClassLimit,f_ClassLimitDisplayFilter,DraClassLimit,f_DraClassLimitDisplayFilter,Abil01,Abil02,Abil03,Abil04,Abil05,Abil06,Abil07,Abil08,Abil09,Abil10,Order1,Order2,Order3,CostumeGrade,f_IsCantShareRental
0,50601950,50601950,50601950,반클리프펫_본드레곤알,36,0,0,459,3,60,137438953470,-1,137438953470,-1,50601950,0,0,0,0,0,0,0,0,0,43,1,1,0,0
0,50601960,50601960,50601960,반클리프펫_본드레곤(7일),546,0,0,6539,3,60,137438953470,-1,137438953470,-1,50601960,0,0,0,0,0,0,0,0,0,43,2,1,0,0
0,65000850,65000850,65000850,건조 사료,4,60,0,1,3,1,137438953470,-1,137438953470,-1,65000850,65000852,0,0,0,0,0,0,0,0,43,5,1,0,0
0,65000860,65000860,65000860,고급 건조 사료,4,100,0,1,3,1,137438953470,-1,137438953470,-1,65000860,65000862,0,0,0,0,0,0,0,0,43,5,1,0,0
0,65000870,65000870,65000870,말린 단백질 캡슐,4,60,0,1,3,1,137438953470,-1,137438953470,-1,65000870,65000872,0,0,0,0,0,0,0,0,43,5,1,0,0
0,65000880,65000880,65000880,하이퍼 단백질 캡슐,4,100,0,1,3,1,137438953470,-1,137438953470,-1,65000880,65000882,0,0,0,0,0,0,0,0,43,5,1,0,0
0,65000890,65000890,65000890,놀이 기구,4,80,0,1,3,1,137438953470,-1,137438953470,-1,65000890,65000892,0,0,0,0,0,0,0,0,43,5,1,0,0
0,65000900,65000900,65000900,건조 사료 레시피,4,10,0,0,3,1,137438953470,-1,137438953470,-1,65000900,0,0,0,0,0,0,0,0,0,43,5,1,0,0
0,65000910,65000910,65000910,말리 단백질 레시피,4,10,0,0,3,1,137438953470,-1,137438953470,-1,65000910,0,0,0,0,0,0,0,0,0,43,5,1,0,0
0,65000920,65000920,65000920,활력 드링크,4,0,0,1,3,1,137438953470,-1,137438953470,-1,65000920,0,0,0,0,0,0,0,0,0,43,5,1,0,0
0,65000930,65000930,65000930,생력 드링크,36,0,0,43,3,1,137438953470,-1,137438953470,-1,65000930,0,0,0,0,0,0,0,0,0,43,5,1,0,0
0,65000940,65000940,65000940,소생환,36,0,0,43,3,1,137438953470,-1,137438953470,-1,65000940,65000942,0,0,0,0,0,0,0,0,43,5,1,0,0
0,65000950,65000950,65000950,올 프래쉬 드링크,36,0,0,43,3,1,137438953470,-1,137438953470,-1,65000950,65000952,0,0,0,0,0,0,0,0,43,5,1,0,0
0,65000960,65000960,65000960,[성장 펫] 푸얀 킹 상의,34,0,0,939,4,1,600002,-1,137438953470,-1,65000960,0,0,0,0,0,0,0,0,0,43,3,1,0,0
0,65000970,65000970,65000970,[성장 펫] 푸얀 얼룩말 상의,34,0,0,939,4,1,600002,-1,137438953470,-1,65000970,0,0,0,0,0,0,0,0,0,43,3,1,0,0
0,65000980,65000980,65000980,[성장 펫] 핑마오 골드 쫄쫄이 상의,34,0,0,939,4,1,600102,-1,137438953470,-1,65000980,0,0,0,0,0,0,0,0,0,43,3,1,0,0
0,65000990,65000990,65000990,[성장 펫] 핑마오 노란색검은줄무니 쫄쫄이 상의,34,0,0,939,4,1,600102,-1,137438953470,-1,65000990,0,0,0,0,0,0,0,0,0,43,3,1,0,0
0,65001000,65001000,65001000,[성장 펫] 레오 붉은빛깔 실크망토 상의,34,0,0,939,4,1,600202,-1,137438953470,-1,65001000,0,0,0,0,0,0,0,0,0,43,3,1,0,0
0,65001010,65001010,65001010,[성장 펫] 레오 카키색상 흰색라인 상의,34,0,0,939,4,1,600202,-1,137438953470,-1,65001010,0,0,0,0,0,0,0,0,0,43,3,1,0,0
0,65001020,65001020,65001020,[성장 펫] 푸얀 킹 모자,34,0,0,939,4,1,600002,-1,137438953470,-1,65001020,0,0,0,0,0,0,0,0,0,43,3,1,0,0
0,65001030,65001030,65001030,[성장 펫] 푸얀 해적 모자,34,0,0,939,4,1,600002,-1,137438953470,-1,65001030,0,0,0,0,0,0,0,0,0,43,3,1,0,0
0,65001040,65001040,65001040,[성장 펫] 핑마오 파라오 모자,34,0,0,939,4,1,600102,-1,137438953470,-1,65001040,0,0,0,0,0,0,0,0,0,43,3,1,0,0
0,65001050,65001050,65001050,[성장 펫] 핑마오 비행사 모자,34,0,0,939,4,1,600102,-1,137438953470,-1,65001050,0,0,0,0,0,0,0,0,0,43,3,1,0,0
0,65001060,65001060,65001060,[성장 펫] 레오 왕관,34,0,0,939,4,1,600202,-1,137438953470,-1,65001060,0,0,0,0,0,0,0,0,0,43,3,1,0,0
0,65001070,65001070,65001070,[성장 펫] 레오 뿔 모자,34,0,0,939,4,1,600202,-1,137438953470,-1,65001070,0,0,0,0,0,0,0,0,0,43,3,1,0,0
