IDX,f_NationCodeStr,MapNo,MapKey,Attribute,Memo,NameNo,XmlPath,ZoneCX,ZoneCY,ZoneCZ,Continent,HometownNo,Hidden_Index,Abil01,Abil02,Abil03,Abil04,Abil05,Recommend_Level,Recommend_Party,Group_TXT,LevelLimit_Min,LevelLimit_Max,DESCRIPTION_TEXT,PartyBreakIn,PartyBreakIn_Item,PartyBreakIn_CashItem
11007,0,9010100,27,0,[20]수염고래 해안가 [대필드],9010100,World/01_Ingrid/01_Level/010100_FD.xml,500,500,3000,1,0,0,0,0,0,0,0,20,0,505756,0,0,0,1,0,0
12036,0,9010101,0,5,[20]수염고래 해안가 1 [F1],9010100,World/01_Ingrid/01_Level/010101_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,20,0,505756,0,0,0,1,0,0
12037,0,9010102,0,5,[20]수염고래 해안가 2 [F1],9010100,World/01_Ingrid/01_Level/010102_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,20,0,505756,0,0,0,1,0,0
12038,0,9010103,0,5,[20]수염고래 해안가 3 [F1],9010100,World/01_Ingrid/01_Level/010103_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,20,0,505756,0,0,0,1,0,0
12039,0,9010104,0,5,[20]수염고래 해안가 4 [F1],9010100,World/01_Ingrid/01_Level/010104_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,20,0,505756,0,0,0,1,0,0
12040,0,9010105,0,5,[20]수염고래 해안가 5 [F1],9010100,World/01_Ingrid/01_Level/010105_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,20,0,505756,0,0,0,1,0,0
12041,0,9010106,0,5,[20]수염고래 해안가 6 [F1],9010100,World/01_Ingrid/01_Level/010106_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,20,0,505756,0,0,0,1,0,0
12044,0,9010109,0,5,[20]수염고래 해안가 캡틴후커 별장 정예[F1],9010109,World/01_Ingrid/01_Level/010109_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,20,0,505756,0,0,0,0,0,0
11008,0,9010110,28,0,[23]톱날꽃게 해변 [대필드],9010110,World/01_Ingrid/01_Level/010110_FD.xml,500,500,3000,1,0,0,0,0,0,0,0,23,0,510103,0,0,0,1,0,0
11009,0,9010120,29,0,[27]갑판상어 부둣가 [대필드],9010120,World/01_Ingrid/01_Level/010120_FD.xml,500,500,3000,1,0,0,0,0,0,0,0,27,0,500342,0,0,0,1,0,0
11010,0,9010130,30,0,[25]스티븐 무역항 [대필드],9010130,World/01_Ingrid/01_Level/010130_FD.xml,500,500,3000,1,0,0,0,0,0,0,0,25,0,506398,0,0,0,1,0,0
12045,0,9010131,0,5,[25]스티븐 무역항 1 [F1],9010130,World/01_Ingrid/01_Level/010131_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,25,0,506398,0,0,0,1,0,0
12046,0,9010132,0,5,[25]스티븐 무역항 2 [F1],9010130,World/01_Ingrid/01_Level/010132_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,25,0,506398,0,0,0,1,0,0
12047,0,9010133,0,5,[25]스티븐 무역항 3 [F1],9010130,World/01_Ingrid/01_Level/010133_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,25,0,506398,0,0,0,1,0,0
12048,0,9010134,0,5,[25]스티븐 무역항 4 [F1],9010130,World/01_Ingrid/01_Level/010134_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,25,0,506398,0,0,0,1,0,0
12049,0,9010135,0,5,[25]스티븐 무역항 5 [F1],9010130,World/01_Ingrid/01_Level/010135_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,25,0,506398,0,0,0,1,0,0
12050,0,9010136,0,5,[25]스티븐 무역항 6 [F1],9010130,World/01_Ingrid/01_Level/010136_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,25,0,506398,0,0,0,1,0,0
12053,0,9010139,0,5,[25]스티븐 무역항 분노의 캡틴 알비다 정예[F1],9010139,World/01_Ingrid/01_Level/010139_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,25,0,506398,0,0,0,0,0,0
11011,0,9010140,31,0,[28]앵무조개 선착장 [대필드],9010140,World/01_Ingrid/01_Level/010140_FD.xml,500,500,3000,1,0,0,0,0,0,0,0,28,0,510108,0,0,0,1,0,0
11012,0,9010150,32,0,[25]칼리곤 선단 [대필드],9010150,World/01_Ingrid/01_Level/010150_FD.xml,500,500,3000,1,0,0,0,0,0,0,0,25,0,510105,0,0,0,1,0,0
12054,0,9010151,0,5,[25]칼리곤 선단 1 [F1],9010150,World/01_Ingrid/01_Level/010151_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,25,0,510105,0,0,0,1,0,0
12055,0,9010152,0,5,[25]칼리곤 선단 2 [F1],9010150,World/01_Ingrid/01_Level/010152_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,25,0,510105,0,0,0,1,0,0
12056,0,9010153,0,5,[25]칼리곤 선단 3 [F1],9010150,World/01_Ingrid/01_Level/010153_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,25,0,510105,0,0,0,1,0,0
12057,0,9010154,0,5,[25]칼리곤 선단 4 [F1],9010150,World/01_Ingrid/01_Level/010154_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,25,0,510105,0,0,0,1,0,0
12058,0,9010155,0,5,[25]칼리곤 선단 5 [F1],9010150,World/01_Ingrid/01_Level/010155_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,25,0,510105,0,0,0,1,0,0
12059,0,9010156,0,5,[25]칼리곤 선단 6 [F1],9010150,World/01_Ingrid/01_Level/010156_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,25,0,510105,0,0,0,1,0,0
12062,0,9010159,0,5,[25]칼리곤 선단 정신나간 칼리곤 선장 정예 [F1],9010159,World/01_Ingrid/01_Level/010159_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,25,0,510105,0,0,0,0,0,0
11013,0,9010200,33,0,[30]미리내 신전 [대필드],9010200,World/01_Ingrid/01_Level/010200_FD.xml,500,500,500,1,0,0,0,0,0,0,0,30,0,508229,0,0,0,1,0,0
12063,0,9010201,0,5,[30]미리내 신전 1 [F1],9010200,World/01_Ingrid/01_Level/010201_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,30,0,508229,0,0,0,1,0,0
12064,0,9010202,0,5,[30]미리내 신전 2 [F1],9010200,World/01_Ingrid/01_Level/010202_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,30,0,508229,0,0,0,1,0,0
12065,0,9010203,0,5,[30]미리내 신전 3 [F1],9010200,World/01_Ingrid/01_Level/010203_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,30,0,508229,0,0,0,1,0,0
12066,0,9010204,0,5,[30]미리내 신전 4 [F1],9010200,World/01_Ingrid/01_Level/010204_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,30,0,508229,0,0,0,1,0,0
12067,0,9010205,0,5,[30]미리내 신전 5 [F1],9010200,World/01_Ingrid/01_Level/010205_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,30,0,508229,0,0,0,1,0,0
12068,0,9010206,0,5,[30]미리내 신전 6 [F1],9010200,World/01_Ingrid/01_Level/010206_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,30,0,508229,0,0,0,1,0,0
12071,0,9010209,0,5,[30]미리내 신전 원령 아티스 정예 [F1],9010209,World/01_Ingrid/01_Level/010209_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,30,0,508229,0,0,0,0,0,0
11014,0,9010210,34,0,[30]스카이피 신전 [대필드],9010210,World/01_Ingrid/01_Level/010210_FD.xml,500,500,1000,1,0,0,0,0,0,0,0,30,0,515475,0,0,0,1,0,0
12072,0,9010211,0,5,[30]스카이피 신전 1 [F1],9010210,World/01_Ingrid/01_Level/010211_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,30,0,515475,0,0,0,1,0,0
12073,0,9010212,0,5,[30]스카이피 신전 2 [F1],9010210,World/01_Ingrid/01_Level/010212_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,30,0,515475,0,0,0,1,0,0
12074,0,9010213,0,5,[30]스카이피 신전 3 [F1],9010210,World/01_Ingrid/01_Level/010213_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,30,0,515475,0,0,0,1,0,0
12075,0,9010214,0,5,[30]스카이피 신전 4 [F1],9010210,World/01_Ingrid/01_Level/010214_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,30,0,515475,0,0,0,1,0,0
12076,0,9010215,0,5,[30]스카이피 신전 5 [F1],9010210,World/01_Ingrid/01_Level/010215_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,30,0,515475,0,0,0,1,0,0
12077,0,9010216,0,5,[30]스카이피 신전 6 [F1],9010210,World/01_Ingrid/01_Level/010216_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,30,0,515475,0,0,0,1,0,0
12080,0,9010219,0,5,[30]스카이피 신전 로드 오브 나이트 정예 [F1],9010219,World/01_Ingrid/01_Level/010219_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,30,0,515475,0,0,0,0,0,0
11015,0,9010220,35,0,[30]벨칸신전 [대필드],9010220,World/01_Ingrid/01_Level/010220_FD.xml,500,500,1000,1,0,0,0,0,0,0,0,30,0,515472,0,0,0,1,0,0
11016,0,9010230,36,0,[30]팔미르 신전 [대필드],9010230,World/01_Ingrid/01_Level/010230_FD.xml,500,500,500,1,0,0,0,0,0,0,0,30,0,521543,0,0,0,1,0,0
11000,0,9010300,20,0,[01]용자의길 [대필드],9010300,World/01_Ingrid/01_Level/010300_FD.xml,500,500,3000,1,0,0,0,0,0,0,0,1,0,510107,0,0,0,1,0,0
12000,0,9010301,0,5,[01]용자의길 1 [F1],9010300,World/01_Ingrid/01_Level/010301_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,1,0,510107,0,0,0,1,0,0
12001,0,9010302,0,5,[01]용자의길 2 [F1],9010300,World/01_Ingrid/01_Level/010302_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,1,0,510107,0,0,0,1,0,0
12002,0,9010303,0,5,[01]용자의길 3 [F1],9010300,World/01_Ingrid/01_Level/010303_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,1,0,510107,0,0,0,1,0,0
12003,0,9010304,0,5,[01]용자의길 4 [F1],9010300,World/01_Ingrid/01_Level/010304_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,1,0,510107,0,0,0,1,0,0
12004,0,9010305,0,5,[01]용자의길 5 [F1],9010300,World/01_Ingrid/01_Level/010305_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,1,0,510107,0,0,0,1,0,0
12005,0,9010306,0,5,[01]용자의길 6 [F1],9010300,World/01_Ingrid/01_Level/010306_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,1,0,510107,0,0,0,1,0,0
12008,0,9010309,0,5,[01]용자의길 숨죽인 베가본드 정예 [F1],9010309,World/01_Ingrid/01_Level/010309_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,1,0,510107,0,0,0,0,0,0
11001,0,9010330,21,0,[03]숙련된 용자의 길 [대필드],9010330,World/01_Ingrid/01_Level/010330_FD.xml,500,500,3000,1,0,0,0,0,0,0,0,3,0,503560,0,0,0,1,0,0
12009,0,9010331,0,5,[03]숙련된 용자의 길 1 [F1],9010330,World/01_Ingrid/01_Level/010331_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,3,0,503560,0,0,0,1,0,0
12010,0,9010332,0,5,[03]숙련된 용자의 길 2 [F1],9010330,World/01_Ingrid/01_Level/010332_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,3,0,503560,0,0,0,1,0,0
12011,0,9010333,0,5,[03]숙련된 용자의 길 3 [F1],9010330,World/01_Ingrid/01_Level/010333_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,3,0,503560,0,0,0,1,0,0
12012,0,9010334,0,5,[03]숙련된 용자의 길 4 [F1],9010330,World/01_Ingrid/01_Level/010334_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,3,0,503560,0,0,0,1,0,0
12013,0,9010335,0,5,[03]숙련된 용자의 길 5 [F1],9010330,World/01_Ingrid/01_Level/010335_FD.xml,600,600,6000,1,0,0,0,0,0,0,0,3,0,503560,0,0,0,1,0,0
