f_NationCodeStr,MonsterNo,Name,Memo,Abil01,Abil02,Abil03,Abil04,Abil05,Abil06,Abil07,Abil08,Abil09,Abil10,Abil11,Abil12,Abil13,Abil14,Abil15
0,3000300,3000300,Капитан Каллигон(기준),10100210,10100211,3000300,3000310,3000320,3000330,3000340,0,3000360,3000390,0,200016,8000300,0,0
0,3000321,3000300,Капитан Каллигон 레벨 21,10100210,10100211,3000300,3000310,3000320,3000330,3000340,0,3000360,3000391,0,200016,8000300,0,0
0,3000330,3000300,Капитан Каллигон 레벨 29 - 시나리오,10100210,10100211,3000300,3000310,3000320,3000330,3000340,0,3000360,3000390,0,200016,8000300,0,0
0,3000398,3000300,Капитан Каллигон(정예) (F6-Defence),10100210,10100211,3000300,3000319,3000320,3000330,3000340,0,3000360,3000392,0,200016,8000300,0,0
0,3000399,3000300,Капитан Каллигон(정예) (F6-Defence),10100210,10100211,3000300,3000319,3000320,3000330,3000340,0,3000360,3000392,0,200016,8000300,0,0
0,3000400,3000400,스켈드래곤 70(기본),20100700,20100701,3000400,0,3000420,3000430,3000440,0,3000460,3000490,0,0,0,0,0
0,3000470,3000400,스켈드래곤 LV70,20100700,20100701,3000400,0,3000420,3000430,3000440,0,3000460,3000490,0,0,0,0,0
0,3000471,3000400,스켈드래곤 LV71,20100710,20100711,3000400,0,3000420,3000430,3000440,0,3000460,3000490,0,0,0,0,0
0,3000472,3000400,스켈드래곤 LV72,20100720,20100721,3000400,0,3000420,3000430,3000440,0,3000460,3000490,0,0,0,0,0
0,3000473,3000400,스켈드래곤 LV73,20100730,20100731,3000400,0,3000420,3000430,3000440,0,3000460,3000490,0,0,0,0,0
0,3000474,3000400,스켈드래곤 LV74,20100740,20100741,3000400,0,3000420,3000430,3000440,0,3000460,3000490,0,0,0,0,0
0,3000475,3000400,스켈드래곤 LV75,20100750,20100751,3000400,0,3000420,3000430,3000440,0,3000460,3000490,0,0,0,0,0
0,3000500,3000500,붉은 스켈드래곤 70(기본),20100700,20100701,3000500,0,3000520,3000530,3000540,0,3000560,3000590,0,0,0,0,0
0,3000570,3000500,붉은 스켈드래곤 LV70,20100700,20100701,3000500,0,3000520,3000530,3000400,0,3000560,3000590,0,0,0,0,0
0,3000571,3000500,붉은 스켈드래곤 LV71,20100710,20100711,3000500,0,3000520,3000530,3000540,0,3000560,3000590,0,0,0,0,0
0,3000572,3000500,붉은 스켈드래곤 LV72,20100720,20100721,3000500,0,3000520,3000530,3000540,0,3000560,3000590,0,0,0,0,0
0,3000573,3000500,붉은 스켈드래곤 LV73,20100730,20100731,3000500,0,3000520,3000530,3000540,0,3000560,3000590,0,0,0,0,0
0,3000574,3000500,붉은 스켈드래곤 LV74,20100740,20100741,3000500,0,3000520,3000530,3000540,0,3000560,3000590,0,0,0,0,0
0,3000575,3000500,붉은 스켈드래곤 LV75,20100750,20100751,3000500,0,3000520,3000530,3000540,0,3000560,3000590,0,0,0,0,0
0,3000600,3000600,검은 스켈드래곤 70(기본),20100700,20100701,3000600,0,3000620,3000630,3000640,0,3000660,3000690,0,0,0,0,0
0,3000670,3000600,검은 스켈드래곤 LV70,20100700,20100701,3000600,0,3000620,3000630,3000640,0,3000660,3000690,0,0,0,0,0
0,3000671,3000600,검은 스켈드래곤 LV71,20100710,20100711,3000600,0,3000620,3000630,3000640,0,3000660,3000690,0,0,0,0,0
0,3000672,3000600,검은 스켈드래곤 LV72,20100720,20100721,3000600,0,3000620,3000630,3000640,0,3000660,3000690,0,0,0,0,0
0,3000673,3000600,검은 스켈드래곤 LV73,20100730,20100731,3000600,0,3000620,3000630,3000640,0,3000660,3000690,0,0,0,0,0
0,3000674,3000600,검은 스켈드래곤 LV74,20100740,20100741,3000600,0,3000620,3000630,3000640,0,3000660,3000690,0,0,0,0,0
0,3000675,3000600,검은 스켈드래곤 LV75,20100750,20100751,3000600,0,3000620,3000630,3000640,0,3000660,3000690,0,0,0,0,0
0,3014257,6102200,사악한 스켈레통 LV57,20100570,20100571,3014200,3014210,3014220,3014230,0,0,0,0,0,0,0,0,0
0,3014258,6102200,사악한 스켈레통 LV58,20100580,20100581,3014200,3014210,3014220,3014231,0,0,0,0,0,0,0,0,0
0,3014259,6102200,사악한 스켈레통 LV59,20100590,20100591,3014200,3014210,3014220,3014232,0,0,0,0,0,0,0,0,0
0,3014260,6102200,사악한 스켈레통 LV60,20100600,20100601,3014200,3014210,3014220,3014233,0,0,0,0,0,0,0,0,0
0,3014261,6102200,사악한 스켈레통 LV61,20100610,20100611,3014200,3014210,3014220,3014233,0,0,0,0,0,0,0,0,0
0,3014262,6102200,사악한 스켈레통 LV62,20100620,20100621,3014200,3014210,3014220,3014232,0,0,0,0,0,0,0,0,0
0,3014265,6102200,사악한 스켈레통 LV65,20100650,20100651,3014200,3014210,3014220,3014233,0,0,0,0,0,0,0,0,0
0,3014266,6102200,사악한 스켈레통 LV66,20100660,20100661,3014200,3014210,3014220,3014232,0,0,0,0,0,0,0,0,0
0,3043200,6043200,정찰병 알곤 (기본),100700,100701,3043200,0,3043220,3043230,0,0,0,0,0,0,0,0,0
0,3043270,6043200,정찰병 알곤 LV70,100700,100701,3043200,0,3043220,3043230,0,0,0,0,0,0,0,0,0
0,3043271,6043200,정찰병 알곤 LV71,100710,100711,3043200,0,3043220,3043230,0,0,0,0,0,0,0,0,0
0,3043272,6043200,정찰병 알곤 LV72,100720,100721,3043200,0,3043220,3043230,0,0,0,0,0,0,0,0,0
0,3043273,6043200,정찰병 알곤 LV73,100730,100731,3043200,0,3043220,3043230,0,0,0,0,0,0,0,0,0
0,3043274,6043200,정찰병 알곤 LV74,100740,100741,3043200,0,3043220,3043230,0,0,0,0,0,0,0,0,0
0,3043275,6043200,정찰병 알곤 LV75,100750,100751,3043200,0,3043220,3043230,0,0,0,0,0,0,0,0,0
0,3043400,6043400,누멘 알곤 (기본)[샷],100700,100701,3043400,0,3043420,3043430,0,0,0,0,0,0,0,0,0
0,3043470,6043400,누멘 알곤 LV70[샷],100700,100701,3043400,0,3043420,3043430,0,0,0,0,0,0,0,0,0
0,3043471,6043400,누멘 알곤 LV71[샷],100710,100711,3043400,0,3043420,3043430,0,0,0,0,0,0,0,0,0
0,3043472,6043400,누멘 알곤 LV72[샷],100720,100721,3043400,0,3043420,3043430,0,0,0,0,0,0,0,0,0
0,3043473,6043400,누멘 알곤 LV73[샷],100730,100731,3043400,0,3043420,3043430,0,0,0,0,0,0,0,0,0
0,3043474,6043400,누멘 알곤 LV74[샷],100740,100741,3043400,0,3043420,3043430,0,0,0,0,0,0,0,0,0
0,3043475,6043400,누멘 알곤 LV75[샷],100750,100751,3043400,0,3043420,3043430,0,0,0,0,0,0,0,0,0
0,3075300,6075300,포이즌 가고일 (기본)[샷],100700,100701,3075300,0,3075320,3075330,0,0,3075360,0,0,0,0,0,0
0,3075370,6075300,포이즌 가고일 LV70,100700,100701,3075300,0,3075320,3075330,0,0,3075360,0,0,0,0,0,0
0,3075371,6075300,포이즌 가고일 LV71,100710,100711,3075300,0,3075320,3075330,0,0,3075360,0,0,0,0,0,0
0,3075372,6075300,포이즌 가고일 LV72,100720,100721,3075300,0,3075320,3075330,0,0,3075360,0,0,0,0,0,0
0,3075373,6075300,포이즌 가고일 LV73,100730,100731,3075300,0,3075320,3075330,0,0,3075360,0,0,0,0,0,0
0,3075374,6075300,포이즌 가고일 LV74,100740,100741,3075300,0,3075320,3075330,0,0,3075360,0,0,0,0,0,0
0,3075375,6075300,포이즌 가고일 LV75,100750,100751,3075300,0,3075320,3075330,0,0,3075360,0,0,0,0,0,0
0,3400100,3400100,구릉 돌 골곤 LV55,100550,100551,3400100,3400110,3400120,3400130,0,0,3400160,0,0,0,0,0,0
0,3400155,3400100,구릉 돌 골곤 LV55,100550,100551,3400100,3400110,3400120,3400130,0,0,3400160,0,0,0,0,0,0
0,3400156,3400100,구릉 돌 골곤 LV56,100560,100561,3400100,3400110,3400120,3400130,0,0,3400160,0,0,0,0,0,0
0,3400157,3400100,구릉 돌 골곤 LV57,100570,100571,3400100,3400110,3400120,3400130,0,0,3400160,0,0,0,0,0,0
0,3400158,3400100,구릉 돌 골곤 LV58,100580,100581,3400100,3400110,3400120,3400130,0,0,3400160,0,0,0,0,0,0
0,3400159,3400100,구릉 돌 골곤 LV59,100590,100591,3400100,3400110,3400120,3400130,0,0,3400160,0,0,0,0,0,0
0,3400160,3400100,구릉 돌 골곤 LV60,100600,100601,3400100,3400110,3400120,3400130,0,0,3400160,0,0,0,0,0,0
0,3400200,3400200,구릉 강철 골곤 LV55,100550,100551,3400200,3400210,3400220,3400230,0,0,3400260,0,0,0,0,0,0
0,3400255,3400200,구릉 강철 골곤 LV55,100550,100551,3400200,3400210,3400220,3400230,0,0,3400260,0,0,0,0,0,0
0,3400256,3400200,구릉 강철 골곤 LV56,100560,100561,3400200,3400210,3400220,3400230,0,0,3400260,0,0,0,0,0,0
0,3400257,3400200,구릉 강철 골곤 LV57,100570,100571,3400200,3400210,3400220,3400230,0,0,3400260,0,0,0,0,0,0
0,3400258,3400200,구릉 강철 골곤 LV58,100580,100581,3400200,3400210,3400220,3400230,0,0,3400260,0,0,0,0,0,0
0,3400259,3400200,구릉 강철 골곤 LV59,100590,100591,3400200,3400210,3400220,3400230,0,0,3400260,0,0,0,0,0,0
0,3400260,3400200,구릉 강철 골곤 LV60,100600,100601,3400200,3400210,3400220,3400230,0,0,3400260,0,0,0,0,0,0
0,3400300,3400300,구릉 룬 골곤 LV55,100550,100551,3400300,3400310,3400320,3400330,0,0,3400360,0,0,0,0,0,0
0,3400355,3400300,구릉 룬 골곤 LV55,100550,100551,3400300,3400310,3400320,3400330,0,0,3400360,0,0,0,0,0,0
0,3400356,3400300,구릉 룬 골곤 LV56,100560,100561,3400300,3400310,3400320,3400330,0,0,3400360,0,0,0,0,0,0
0,3400357,3400300,구릉 룬 골곤 LV57,100570,100571,3400300,3400310,3400320,3400330,0,0,3400360,0,0,0,0,0,0
0,3400358,3400300,구릉 룬 골곤 LV58,100580,100581,3400300,3400310,3400320,3400330,0,0,3400360,0,0,0,0,0,0
0,3400359,3400300,구릉 룬 골곤 LV59,100590,100591,3400300,3400310,3400320,3400330,0,0,3400360,0,0,0,0,0,0
0,3400360,3400300,구릉 룬 골곤 LV60,100600,100601,3400300,3400310,3400320,3400330,0,0,3400360,0,0,0,0,0,0
0,3400400,3400400,바티칸 용군단 정찰병 LV55,100550,100551,3400400,0,3400420,3400430,0,0,0,0,0,0,0,0,0
0,3400455,3400400,바티칸 용군단 정찰병 LV55,100550,100551,3400400,0,3400420,3400430,0,0,0,0,0,0,0,0,0
0,3400456,3400400,바티칸 용군단 정찰병 LV56,100560,100561,3400400,0,3400420,3400430,0,0,0,0,0,0,0,0,0
0,3400457,3400400,바티칸 용군단 정찰병 LV57,100570,100571,3400400,0,3400420,3400430,0,0,0,0,0,0,0,0,0
0,3400458,3400400,바티칸 용군단 정찰병 LV58,100580,100581,3400400,0,3400420,3400430,0,0,0,0,0,0,0,0,0
0,3400459,3400400,바티칸 용군단 정찰병 LV59,100590,100591,3400400,0,3400420,3400430,0,0,0,0,0,0,0,0,0
0,3400460,3400400,바티칸 용군단 정찰병 LV60,100600,100601,3400400,0,3400420,3400430,0,0,0,0,0,0,0,0,0
0,3400500,3400500,바티칸 용군단 길잡이 LV55[샷],100550,100551,3400500,3400510,3400520,3400530,0,0,0,0,0,0,0,0,0
0,3400555,3400500,바티칸 용군단 길잡이 LV55[샷],100550,100551,3400500,3400510,3400520,3400530,0,0,0,0,0,0,0,0,0
0,3400556,3400500,바티칸 용군단 길잡이 LV56[샷],100560,100561,3400500,3400510,3400520,3400530,0,0,0,0,0,0,0,0,0
0,3400557,3400500,바티칸 용군단 길잡이 LV57[샷],100570,100571,3400500,3400510,3400520,3400530,0,0,0,0,0,0,0,0,0
0,3400558,3400500,바티칸 용군단 길잡이 LV58[샷],100580,100581,3400500,3400510,3400520,3400530,0,0,0,0,0,0,0,0,0
0,3400559,3400500,바티칸 용군단 길잡이 LV59[샷],100590,100591,3400500,3400510,3400520,3400530,0,0,0,0,0,0,0,0,0
0,3400560,3400500,바티칸 용군단 길잡이 LV60[샷],100600,100601,3400500,3400510,3400520,3400530,0,0,0,0,0,0,0,0,0
0,3400600,3400600,바티칸 용군단 투척병 LV55[샷],100550,100551,3400600,3400610,3400620,3400630,0,0,0,0,0,0,0,0,0
0,3400655,3400600,바티칸 용군단 투척병 LV55[샷],100550,100551,3400600,3400610,3400620,3400630,0,0,0,0,0,0,0,0,0
0,3400656,3400600,바티칸 용군단 투척병 LV56[샷],100560,100561,3400600,3400610,3400620,3400630,0,0,0,0,0,0,0,0,0
0,3400657,3400600,바티칸 용군단 투척병 LV57[샷],100570,100571,3400600,3400610,3400620,3400630,0,0,0,0,0,0,0,0,0
0,3400658,3400600,바티칸 용군단 투척병 LV58[샷],100580,100581,3400600,3400610,3400620,3400630,0,0,0,0,0,0,0,0,0
0,3400659,3400600,바티칸 용군단 투척병 LV59[샷],100590,100591,3400600,3400610,3400620,3400630,0,0,0,0,0,0,0,0,0
0,3400660,3400600,바티칸 용군단 투척병 LV60[샷],100600,100601,3400600,3400610,3400620,3400630,0,0,0,0,0,0,0,0,0
0,3400700,3400700,구릉 놀 보초병 기준(사용안함)[샷],100550,100551,3400700,3400710,3400720,3400730,3400740,0,3400760,0,0,0,0,0,0
0,3400755,3400700,구릉 놀 보초병 LV55,100550,100551,3400700,3400710,3400720,3400730,3400740,0,3400760,0,0,0,0,0,0
0,3400756,3400700,구릉 놀 보초병 LV56,100560,100561,3400700,3400710,3400720,3400730,3400740,0,3400760,0,0,0,0,0,0
0,3400757,3400700,구릉 놀 보초병 LV57,100570,100571,3400700,3400710,3400720,3400730,3400740,0,3400760,0,0,0,0,0,0
0,3400758,3400700,구릉 놀 보초병 LV58,100580,100581,3400700,3400710,3400720,3400730,3400740,0,3400760,0,0,0,0,0,0
