f_NationCodeStr,MonsterAbilNo,Memo,Type01,Value01,Type02,Value02,Type03,Value03,Type04,Value04,Type05,Value05,Type06,Value06,Type07,Value07,Type08,Value08,Type09,Value09,Type10,Value10
0,100,튜토리얼 1랩,1,1,7001,20,7021,210,201,1,202,1,0,0,7311,9500,513,1,0,0,0,0
0,101,튜토리얼 1랩,3001,32,3031,2000,3032,9000,7351,0,3033,0,0,0,3040,0,0,0,0,0,0,0
0,102,튜토리얼 1랩,7012,1000,7032,1000,3007,6000,2020,2000,0,0,7141,0,7151,0,3006,1,0,0,0,0
0,103,튜토리얼 1랩,7192,500,7202,500,7221,0,7231,0,7331,0,7341,0,7101,1,7091,1,7301,3000,0,0
0,104,튜토리얼 1랩 이동속도,7081,0,3053,0,3051,4000,3004,200,3003,200,2042,300,0,0,507,8,0,0,0,0
0,105,튜토리얼 1랩 드롭가방,3056,90000,3041,121000010,3042,0,3081,0,3082,1,0,0,0,0,0,0,0,0,0,0
0,106,늑대_튜토리얼 갈색 1레벨,1,1,513,2,3033,0,7131,600,3040,0,522,2,534,9000,7311,7500,565,1,0,0
0,107,늑대_튜토리얼 갈색 1레벨,7001,170,7021,2750,7351,0,7091,110,7361,0,7101,142,7221,30,7231,25,7331,39,7341,35
0,108,늑대_튜토리얼 갈색 능력치1,3053,0,4007,1,507,1,3031,2000,3032,6000,3034,2,3039,0,0,0,0,0,206,9000
0,109,늑대_튜토리얼 갈색 능력치2,7081,52,3003,100,3004,100,3051,3000,2042,0,2020,2600,3007,6000,0,0,0,0,259,60
0,110,늑대_튜토리얼 갈색 능력치3,7222,0,7232,0,7332,0,7342,0,7092,0,7102,0,7002,0,3045,9000,0,0,0,0
0,111,늑대_튜토리얼 갈색 스킬,3008,2,3010,6004100,3020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,112,늑대_튜토리얼 갈색 드롭가방,3056,90000,3041,150000010,3042,0,3081,0,3082,1,0,0,0,0,0,0,0,0,0,0
0,113,늑대_튜토리얼 미친 1레벨,1,1,513,2,3033,0,7131,650,3040,0,522,2,534,9000,7311,7500,565,1,0,0
