IDX,BagNo,Memo,ElementNo,SuccessRateNo,TunningNo_Min,TunningNo_Max
2980,5,튜토리얼 몬스터 갈색늑대,5,990001,0,0
2981,6,튜토리얼 몬스터 미친늑대,6,990001,0,0
2985,7,튜토리얼 몬스터 갈색늑대,7,990001,0,0
8,8,공선전 코어 1,8,990001,0,0
9,9,공성전 코어 2,9,990001,0,0
3492,10,쟁탈전 수호용 공격형,10,990001,0,0
3493,11,쟁탈전 수호용 기본형,11,990001,0,0
3494,12,쟁탈전 수호용 몸빵형,12,990001,0,0
3495,13,쟁탈전 수호용 마법형,13,990001,0,0
3496,14,쟁탈전 수호용 민첩형,14,990001,0,0
3497,15,쟁탈전 거대 수호용,15,990001,0,0
4375,16,쟁탈전 거대수호용(2성),16,990001,0,0
7714,676767,테스트,676767,0,0,0
6330,900000,용자의 길 소마 Lv7 (희귀),900000,990001,0,0
6331,900001,남부 용자의 길 거대 초목이 Lv7 (희귀),900001,990001,0,0
6332,900002,숙련된 용자의 길 히찌 Lv9 (희귀),900002,990001,0,0
6333,900003,배신자의 고개 몰렉 Lv16 (희귀),900003,990001,0,0
6334,900004,망각의 협곡 아크하트 Lv21 (희귀),900004,990001,0,0
6336,900005,칼 바람 언덕 몰렉 Lv14 (희귀),900005,990001,0,0
6338,900006,통곡의 고개 몰렉 Lv22 (희귀),900006,990001,0,0
6340,900007,작은 파도 해안 아크하트 Lv15 (희귀),900007,990001,0,0
6342,900008,수염고래 해안가 사라스바티 Lv27 (희귀),900008,990001,0,0
6344,900009,스티븐 무역항 아페프 Lv31 (희귀),900009,990001,0,0
6346,900010,갑판상어 부둣가 사라스바티 Lv26 (희귀),900010,990001,0,0
6348,900011,톱날꽃게 해변 아페프 Lv24 (희귀),900011,990001,0,0
6350,900012,칼리곤 선단 거대 별가사리 Lv31 (희귀),900012,990001,0,0
6352,900013,앵무조개 선착장 사라스바티 Lv30 (희귀),900013,990001,0,0
6354,900014,미리내 신전 우샤스 Lv36 (희귀),900014,990001,0,0
6356,900015,벨칸 신전 우샤스 Lv34 (희귀),900015,990001,0,0
6358,900016,스카이피 신전 우샤스 Lv35 (희귀),900016,990001,0,0
6360,900017,팔미르 신전 우샤스 Lv37 (희귀),900017,990001,0,0
6362,900018,위험한 동굴 뮤르달 Lv41 (희귀),900018,990001,0,0
6364,900019,지하수로 뮤르달 Lv38 (희귀),900019,990001,0,0
6366,900020,채굴지대 뮤르달 Lv41 (희귀),900020,990001,0,0
6368,900021,화산재 언덕 마크두르 Lv44 (희귀),900021,990001,0,0
6370,900022,심연의 열기 마크두르 Lv43 (희귀),900022,990001,0,0
6372,900023,화암 산호지대 마크두르 Lv45 (희귀),900023,990001,0,0
6374,900024,악마의 숨결 마크두르 Lv46 (희귀),900024,990001,0,0
6376,900025,이글거리는 늪지대 프로토수쿠스 Lv48 (희귀),900025,990001,0,0
6378,900026,마른나무 늪지대 화난 개굴꽁이 Lv46 (희귀),900026,990001,0,0
6380,900027,갈대 습지 화난 개굴맹이 Lv47 (희귀),900027,990001,0,0
6382,900028,악어 늪 프로토수쿠스 Lv49 (희귀),900028,990001,0,0
6384,900029,넝쿨 숲 토트 Lv50 (희귀),900029,990001,0,0
6386,900030,큰나무지대 아트라스 Lv51 (희귀),900030,990001,0,0
6388,900031,솔방울 언덕 토트 Lv52 (희귀),900031,990001,0,0
6390,900032,안개내린 오솔길 나무꾼 버나언 Lv48 (희귀),900032,990001,0,0
6392,900033,풀바람 구릉 포자거미 베리어 Lv50 (희귀),900033,990001,0,0
6394,900034,무너진 성지 프록시마 Lv52 (희귀),900034,990001,0,0
6396,900035,남겨진 흔적 화난 푸카 쵸피 Lv51 (희귀),900035,990001,0,0
6398,900036,케이론 제단 프록시마 Lv53 (희귀),900036,990001,0,0
6400,900037,신들의 안식처 프록시마 Lv54 (희귀),900037,990001,0,0
6402,900038,잊혀진 마을 아에시르 Lv55 (희귀),900038,990001,0,0
6404,900039,잠자는 마을 바니르 Lv56 (희귀),900039,990001,0,0
6406,900040,유혹의 설원 펜리르 Lv58 (희귀),900040,990001,0,0
6408,900041,얼음 협곡 안드바리 Lv60 (희귀),900041,990001,0,0
6410,900042,대강당 아스완 Lv63 (희귀),900042,990001,0,0
6412,900043,중앙 기관실 유벨 Lv64 (희귀),900043,990001,0,0
6414,900044,달빛 테라스 다크버스트 Lv65 (희귀),900044,990001,0,0
6416,900045,희귀 몬스터 46,900045,990001,0,0
6418,900046,희귀 몬스터 47,900046,990001,0,0
6420,900047,희귀 몬스터 48,900047,990001,0,0
6422,900048,희귀 몬스터 49,900048,990001,0,0
6424,900049,희귀 몬스터 50,900049,990001,0,0
6426,900050,희귀 몬스터 51,900050,990001,0,0
6428,900051,희귀 몬스터 52,900051,990001,0,0
6430,900052,희귀 몬스터 53,900052,990001,0,0
6432,900053,희귀 몬스터 54,900053,990001,0,0
6434,900054,희귀 몬스터 55,900054,990001,0,0
6436,900055,희귀 몬스터 56,900055,990001,0,0
6438,900056,희귀 몬스터 57,900056,990001,0,0
6440,900057,희귀 몬스터 58,900057,990001,0,0
6442,900058,희귀 몬스터 59,900058,990001,0,0
6444,900059,희귀 몬스터 60,900059,990001,0,0
6446,900060,희귀 몬스터 61,900060,990001,0,0
6448,900061,희귀 몬스터 62,900061,990001,0,0
