IDX,Memo,BagNo,MonNo01,MonNo02,MonNo03,MonNo04,MonNo05,MonNo06,MonNo07,MonNo08,MonNo09,MonNo10
1,튜토리얼 몬스터 갈색늑대                                                                                       ,5,6004100,0,0,0,0,0,0,0,0,0
2,튜토리얼 몬스터 미친늑대                                                                                       ,6,6004300,0,0,0,0,0,0,0,0,0
3,튜토리얼 몬스터 갈색늑대                                                                                       ,7,60041001,0,0,0,0,0,0,0,0,0
4,공성전 코어 1                                                                                            ,8,6464100,0,0,0,0,0,0,0,0,0
5,공성전 코어 2                                                                                            ,9,6463100,0,0,0,0,0,0,0,0,0
6,쟁탈전 수호용 공격형                                                                                         ,10,6000400,0,0,0,0,0,0,0,0,0
7,쟁탈전 수호용 기본형                                                                                         ,11,6000410,0,0,0,0,0,0,0,0,0
8,쟁탈전 수호용 몸빵형                                                                                         ,12,6000420,0,0,0,0,0,0,0,0,0
9,쟁탈전 수호용 마법형                                                                                         ,13,6000430,0,0,0,0,0,0,0,0,0
10,쟁탈전 수호용 민첩형                                                                                         ,14,6000440,0,0,0,0,0,0,0,0,0
11,쟁탈전 거대 수호용                                                                                          ,15,6000450,0,0,0,0,0,0,0,0,0
12,쟁탈전 거대수호용(2성)                                                                                       ,16,6000451,0,0,0,0,0,0,0,0,0
7289,테스트                                                                                                 ,676767,3529310,0,0,0,0,0,0,0,0,0
13,용자의 길 소마 Lv7 (희귀)                                                                                   ,900000,6601301,0,0,0,0,0,0,0,0,0
14,남부 용자의 길 거대 초목이 Lv7 (희귀)                                                                            ,900001,6101307,0,0,0,0,0,0,0,0,0
15,숙련된 용자의 길 히찌 Lv9 (희귀)                                                                               ,900002,6601401,0,0,0,0,0,0,0,0,0
16,배신자의 고개 몰렉 Lv16 (희귀)                                                                                ,900003,6601501,0,0,0,0,0,0,0,0,0
17,망각의 협곡 아크하트 Lv21 (희귀)                                                                               ,900004,6601601,0,0,0,0,0,0,0,0,0
18,칼 바람 언덕 몰렉 Lv14 (희귀)                                                                                ,900005,6601514,0,0,0,0,0,0,0,0,0
19,통곡의 고개 몰렉 Lv22 (희귀)                                                                                 ,900006,6601522,0,0,0,0,0,0,0,0,0
20,작은 파도 해안 아크하트 Lv15 (희귀)                                                                             ,900007,6601615,0,0,0,0,0,0,0,0,0
21,수염고래 해안가 사라스바티 Lv27 (희귀)                                                                            ,900008,6601701,0,0,0,0,0,0,0,0,0
22,스티븐 무역항 아페프 Lv31 (희귀)                                                                               ,900009,6601801,0,0,0,0,0,0,0,0,0
23,갑판상어 부둣가 사라스바티 Lv26 (희귀)                                                                            ,900010,6601726,0,0,0,0,0,0,0,0,0
24,톱날꽃게 해변 아페프 Lv24 (희귀)                                                                               ,900011,6601824,0,0,0,0,0,0,0,0,0
25,칼리곤 선단 거대 별가사리 Lv31 (희귀)                                                                            ,900012,6011831,0,0,0,0,0,0,0,0,0
26,앵무조개 선착장 사라스바티 Lv30 (희귀)                                                                            ,900013,6601730,0,0,0,0,0,0,0,0,0
27,미리내 신전 우샤스 Lv36 (희귀)                                                                                ,900014,6601901,0,0,0,0,0,0,0,0,0
28,벨칸 신전 우샤스 Lv34 (희귀)                                                                                 ,900015,6601934,0,0,0,0,0,0,0,0,0
29,스카이피 신전 우샤스 Lv35 (희귀)                                                                               ,900016,6601935,0,0,0,0,0,0,0,0,0
30,팔미르 신전 우샤스 Lv37 (희귀)                                                                                ,900017,6601937,0,0,0,0,0,0,0,0,0
31,위험한 동굴 뮤르달 Lv41 (희귀)                                                                                ,900018,6600101,0,0,0,0,0,0,0,0,0
32,지하수로 뮤르달 Lv38 (희귀)                                                                                  ,900019,6600138,0,0,0,0,0,0,0,0,0
33,채굴지대 뮤르달 Lv41 (희귀)                                                                                  ,900020,6600141,0,0,0,0,0,0,0,0,0
34,화산재 언덕 마크두르 Lv44 (희귀)                                                                               ,900021,6602144,0,0,0,0,0,0,0,0,0
35,심연의 열기 마크두르 Lv43 (희귀)                                                                               ,900022,6602143,0,0,0,0,0,0,0,0,0
36,화암 산호지대 마크두르 Lv45 (희귀)                                                                              ,900023,6602145,0,0,0,0,0,0,0,0,0
37,악마의 숨결 마크두르 Lv46 (희귀)                                                                               ,900024,6602101,0,0,0,0,0,0,0,0,0
38,이글거리는 늪지대 프로토수쿠스 Lv48 (희귀)                                                                          ,900025,6600201,0,0,0,0,0,0,0,0,0
39,마른나무 늪지대 화난 개굴꽁이 Lv46 (희귀)                                                                          ,900026,6028546,0,0,0,0,0,0,0,0,0
40,갈대 습지 화난 개굴맹이 Lv47 (희귀)                                                                             ,900027,6028647,0,0,0,0,0,0,0,0,0
41,악어 늪 프로토수쿠스 Lv49 (희귀)                                                                               ,900028,6600249,0,0,0,0,0,0,0,0,0
42,넝쿨 숲 토트 Lv50 (희귀)                                                                                   ,900029,6602250,0,0,0,0,0,0,0,0,0
43,큰나무지대 아트라스 Lv51 (희귀)                                                                                ,900030,6600301,0,0,0,0,0,0,0,0,0
44,솔방울 언덕 토트 Lv52 (희귀)                                                                                 ,900031,6602201,0,0,0,0,0,0,0,0,0
45,안개내린 오솔길 나무꾼 버나언 Lv48 (희귀)                                                                          ,900032,6073148,0,0,0,0,0,0,0,0,0
46,풀바람 구릉 포자거미 베리어 Lv50 (희귀)                                                                           ,900033,6064750,0,0,0,0,0,0,0,0,0
47,무너진 성지 프록시마 Lv52 (희귀)                                                                               ,900034,6600452,0,0,0,0,0,0,0,0,0
48,남겨진 흔적 화난 푸카 쵸피 Lv51 (희귀)                                                                           ,900035,6032851,0,0,0,0,0,0,0,0,0
49,케이론 제단 프록시마 Lv53 (희귀)                                                                               ,900036,6600453,0,0,0,0,0,0,0,0,0
50,신들의 안식처 프록시마 Lv54 (희귀)                                                                              ,900037,6600401,0,0,0,0,0,0,0,0,0
51,잊혀진 마을 아에시르 Lv55 (희귀)                                                                               ,900038,6600501,0,0,0,0,0,0,0,0,0
52,잠자는 마을 바니르 Lv56 (희귀)                                                                                ,900039,6600601,0,0,0,0,0,0,0,0,0
