ResNo,Memo,IconPath,XmlPath,U,V,UVIndex,AddResNo1,AddResNo2,AddResNo3
0,.,../Data/6_UI/icon/IconEtc04.tga,.,12,12,72,0,0,0
27,드랍박스,.,Object\dropbox.xml,1,1,1,0,0,0
31,기초스킬세트1,../Data/6_UI/skill/skSetIcon2.tga,.,2,1,1,0,0,0
32,기초스킬세트2,../Data/6_UI/skill/skSetIcon2.tga,.,2,1,2,0,0,0
41,스킬세트1,../Data/6_UI/skill/skSetIcon.tga,.,2,3,1,0,0,0
42,스킬세트2,../Data/6_UI/skill/skSetIcon.tga,.,2,3,3,0,0,0
43,스킬세트3,../Data/6_UI/skill/skSetIcon.tga,.,2,3,5,0,0,0
44,스킬세트4,../Data/6_UI/skill/skSetIcon.tga,.,2,3,2,0,0,0
45,스킬세트5,../Data/6_UI/skill/skSetIcon.tga,.,2,3,4,0,0,0
46,스킬세트6,../Data/6_UI/skill/skSetIcon.tga,.,2,3,6,0,0,0
51,점프,../Data/6_UI/icon/IconSkill3.tga,.,12,12,45,0,0,0
1001,키셋팅 아이콘용1,../Data/6_UI/key/keyMoveB01.tga,.,1,1,1,0,0,0
1002,키셋팅 아이콘용2,../Data/6_UI/key/keyMoveB02.tga,.,1,1,1,0,0,0
1003,키셋팅 아이콘용3,../Data/6_UI/key/keyMoveB03.tga,.,1,1,1,0,0,0
1004,키셋팅 아이콘용4,../Data/6_UI/key/keyMoveB04.tga,.,1,1,1,0,0,0
1005,퀘스트마크,../Data/6_ui/Icon/IconType.tga,.,12,12,1,0,0,0
11001,경험치 증가 패널티,../Data/6_UI/mission/msPntyIcon.tga,.,1,1,1,0,0,0
60001,최대HP 25% 증가,../Data/6_UI/icon/skillbuff04.tga,.,8,8,53,0,0,0
60002,물리/마법 방어력 20% 증가,../Data/6_UI/icon/skillbuff04.tga,.,8,8,57,0,0,0
60003,최대HP 50% 증가,../Data/6_UI/icon/skillbuff04.tga,.,8,8,54,0,0,0
60004,물리/마법 방어력 20% 증가,../Data/6_UI/icon/skillbuff04.tga,.,8,8,58,0,0,0
60005,최대HP 75% 증가,../Data/6_UI/icon/skillbuff04.tga,.,8,8,55,0,0,0
60006,물리/마법 방어력 30% 증가,../Data/6_UI/icon/skillbuff04.tga,.,8,8,59,0,0,0
60007,최대HP 100% 증가,../Data/6_UI/icon/skillbuff04.tga,.,8,8,56,0,0,0
60008,물리/마법 방어력 40% 증가,../Data/6_UI/icon/skillbuff04.tga,.,8,8,60,0,0,0
290010,PVP 버프,../Data/6_UI/icon/skillbuff06.tga,.,8,8,55,0,0,0
300101,화학독 방지 버프,../Data/6_UI/icon/skillbuff01.tga,.,8,8,7,0,0,0
303001,북미 이벤트 햄버거,../Data/6_UI/icon/skillbuff02.tga,.,8,8,54,0,0,0
303101,북미 이벤트 핫도그,../Data/6_UI/icon/skillbuff02.tga,.,8,8,55,0,0,0
303201,호수신의 은도끼,../Data/6_UI/icon/skillbuff02.tga,.,8,8,58,0,0,0
303901,쿨타임 1분 감소 유지 물약,../Data/6_UI/icon/skillbuff04.tga,.,8,8,4,0,0,0
304001,쿨타임 3분 감소 유지 물약,../Data/6_UI/icon/skillbuff04.tga,.,8,8,4,0,0,0
304101,쿨타임 5분 감소 유지 물약,../Data/6_UI/icon/skillbuff04.tga,.,8,8,4,0,0,0
304201,떠돌이 상인 소환권,../Data/6_UI/icon/skillbuff03.tga,.,8,8,61,0,0,0
304301,금고 소환권,../Data/6_UI/icon/skillbuff03.tga,.,8,8,62,0,0,0
304401,공격속도 향상 물약(소),../Data/6_UI/icon/skillbuff03.tga,.,8,8,58,0,0,0
304501,공격속도 향상 물약(중),../Data/6_UI/icon/skillbuff03.tga,.,8,8,59,0,0,0
304601,공격속도 향상 물약(대),../Data/6_UI/icon/skillbuff03.tga,.,8,8,60,0,0,0
305201,5% 스톤 스킨 물약,../Data/6_UI/icon/skillbuff03.tga,.,8,8,52,0,0,0
305301,10% 스톤 스킨 물약,../Data/6_UI/icon/skillbuff03.tga,.,8,8,53,0,0,0
305401,15% 스톤 스킨 물약,../Data/6_UI/icon/skillbuff03.tga,.,8,8,54,0,0,0
305501,5% 배리어 물약,../Data/6_UI/icon/skillbuff03.tga,.,8,8,55,0,0,0
305601,10% 배리어 물약,../Data/6_UI/icon/skillbuff03.tga,.,8,8,56,0,0,0
305701,15% 배리어 물약,../Data/6_UI/icon/skillbuff03.tga,.,8,8,57,0,0,0
305801,무기 착용 -5 레벨 감소,../Data/6_UI/icon/skillbuff03.tga,.,8,8,63,0,0,0
305901,방어구 착용 -5레벨 감소,../Data/6_UI/icon/skillbuff03.tga,.,8,8,64,0,0,0
306001,악세서리 착용 -5레벨 감소,../Data/6_UI/icon/skillbuff04.tga,.,8,8,65,0,0,0
306401,쿨타임 1분 초기화 유지 물약,../Data/6_UI/icon/skillbuff04.tga,.,8,8,3,0,0,0
306501,쿨타임 3분 초기화 유지 물약,../Data/6_UI/icon/skillbuff04.tga,.,8,8,3,0,0,0
306601,쿨타임 5분 초기화 유지 물약,../Data/6_UI/icon/skillbuff04.tga,.,8,8,3,0,0,0
306701,이동속도 향상물약(마을전용),../Data/6_UI/icon/skillbuff04.tga,.,8,8,22,0,0,0
306801,이동속도 향상물약(소),../Data/6_UI/icon/skillbuff04.tga,.,8,8,23,0,0,0
306901,이동속도 향상물약(중),../Data/6_UI/icon/skillbuff04.tga,.,8,8,23,0,0,0
307001,이동속도 향상물약(대),../Data/6_UI/icon/skillbuff04.tga,.,8,8,23,0,0,0
307101,최대 HP 10% 증가 ,../Data/6_UI/icon/skillbuff01.tga,.,8,8,25,0,0,0
307201,최대 MP 10% 증가 ,../Data/6_UI/icon/skillbuff01.tga,.,8,8,25,0,0,0
307301,STR 15% 증가 ,../Data/6_UI/icon/skillbuff02.tga,.,8,8,34,0,0,0
307401,INT 15% 증가 ,../Data/6_UI/icon/skillbuff02.tga,.,8,8,35,0,0,0
307501,CON 15% 증가 ,../Data/6_UI/icon/skillbuff02.tga,.,8,8,36,0,0,0
307601,DEX 15% 증가 ,../Data/6_UI/icon/skillbuff02.tga,.,8,8,37,0,0,0
307701,이동속도 10% 증가 ,../Data/6_UI/icon/skillbuff01.tga,.,8,8,36,0,0,0
307801,공격속도 10% 증가 ,../Data/6_UI/icon/skillbuff11.tga,.,8,8,23,0,0,0
307901,회피율 +20 증가 ,../Data/6_UI/icon/skillbuff01.tga,.,8,8,20,0,0,0
308001,치명타 확률 20% 증가 ,../Data/6_UI/icon/skillbuff01.tga,.,8,8,22,0,0,0
