ResNo,Memo,IconPath,XmlPath,U,V,UVIndex,AddResNo1,AddResNo2,AddResNo3
101,레벨등급 Add Res 1,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_001.tga,12,12,1,0,0,0
102,레벨등급 Add Res 2,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_002.tga,12,12,2,0,0,0
103,레벨등급 Add Res 3,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_003.tga,12,12,3,0,0,0
104,레벨등급 Add Res 4,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_004.tga,12,12,4,0,0,0
105,레벨등급 Add Res 5,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_005.tga,12,12,5,0,0,0
106,레벨등급 Add Res 6,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_006.tga,12,12,6,0,0,0
107,레벨등급 Add Res 7,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_007.tga,12,12,7,0,0,0
108,레벨등급 Add Res 8,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_008.tga,12,12,8,0,0,0
109,레벨등급 Add Res 9,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_009.tga,12,12,9,0,0,0
110,레벨등급 Add Res 10,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_010.tga,12,12,10,0,0,0
111,레벨등급 Add Res 11,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_026.tga,12,12,53,0,0,0
112,레벨등급 Add Res 12,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_027.tga,12,12,54,0,0,0
113,레벨등급 Add Res 13,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_028.tga,12,12,55,0,0,0
114,레벨등급 Add Res 14,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_029.tga,12,12,56,0,0,0
115,레벨등급 Add Res 15,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_030.tga,12,12,57,0,0,0
116,레벨등급 Add Res 16,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_031.tga,12,12,58,0,0,0
117,레벨등급 Add Res 17,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_032.tga,12,12,59,0,0,0
118,레벨등급 Add Res 18,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_033.tga,12,12,60,0,0,0
119,레벨등급 Add Res 19,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_034.tga,12,12,61,0,0,0
120,레벨등급 Add Res 20,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_035.tga,12,12,62,0,0,0
201,강화등급(★) Add Res 1,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_011.tga,12,12,11,0,0,0
202,강화등급(★) Add Res 2,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_012.tga,12,12,12,0,0,0
203,강화등급(★) Add Res 3,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_013.tga,12,12,13,0,0,0
204,강화등급(★) Add Res 4,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_014.tga,12,12,14,0,0,0
205,강화등급(★) Add Res 5,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_015.tga,12,12,15,0,0,0
206,강화등급(★) Add Res 6,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_016.tga,12,12,16,0,0,0
207,강화등급(★) Add Res 7,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_017.tga,12,12,17,0,0,0
208,강화등급(★) Add Res 8,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_018.tga,12,12,18,0,0,0
209,강화등급(★) Add Res 9,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_019.tga,12,12,19,0,0,0
210,강화등급(★) Add Res 10,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_020.tga,12,12,20,0,0,0
211,강화등급(★) Add Res 11,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_021.tga,12,12,21,0,0,0
212,강화등급(★) Add Res 12,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_022.tga,12,12,22,0,0,0
213,강화등급(★) Add Res 13,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_023.tga,12,12,23,0,0,0
214,강화등급(★) Add Res 14,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_024.tga,12,12,24,0,0,0
215,강화등급(★) Add Res 15,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_025.tga,12,12,25,0,0,0
216,강화등급(★) Add Res 16,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_036.tga,12,12,63,0,0,0
217,강화등급(★) Add Res 17,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_037.tga,12,12,64,0,0,0
218,강화등급(★) Add Res 18,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_038.tga,12,12,65,0,0,0
219,강화등급(★) Add Res 19,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_039.tga,12,12,66,0,0,0
220,강화등급(★) Add Res 20,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_040.tga,12,12,67,0,0,0
301,공용마스크 - 인간 하단,../Data/6_UI/icon/IconGrade01.tga,../data/6_UI/icon/socketCard/mk_h01.tga,12,12,26,0,0,0
302,공용마스크 - 인간 상단,../Data/6_UI/icon/IconGrade01.tga,../data/6_UI/icon/socketCard/mk_h02.tga,12,12,27,0,0,0
311,공용마스크 - 드래곤 하단,../Data/6_UI/icon/IconGrade01.tga,../data/6_UI/icon/socketCard/mk_d01.tga,12,12,28,0,0,0
312,공용마스크 - 드래곤 상단,../Data/6_UI/icon/IconGrade01.tga,../data/6_UI/icon/socketCard/mk_d02.tga,12,12,29,0,0,0
350,아이템 툴팁 아이콘[무기],../Data/6_UI/shop/shTooltip.tga,.,8,1,1,0,0,0
351,아이템 툴팁 아이콘[투구],../Data/6_UI/shop/shTooltip.tga,.,8,1,2,0,0,0
352,아이템 툴팁 아이콘[상의],../Data/6_UI/shop/shTooltip.tga,.,8,1,3,0,0,0
353,아이템 툴팁 아이콘[하의],../Data/6_UI/shop/shTooltip.tga,.,8,1,4,0,0,0
354,아이템 툴팁 아이콘[어깨],../Data/6_UI/shop/shTooltip.tga,.,8,1,5,0,0,0
355,아이템 툴팁 아이콘[장갑],../Data/6_UI/shop/shTooltip.tga,.,8,1,6,0,0,0
356,아이템 툴팁 아이콘[신발],../Data/6_UI/shop/shTooltip.tga,.,8,1,7,0,0,0
357,아이템 툴팁 아이콘[백팩],../Data/6_UI/shop/shTooltip.tga,.,8,1,8,0,0,0
401,등급 일반 - 상단 중앙,../Data/6_UI/icon/IconGrade01.tga,.,12,12,30,0,0,0
402,등급 레어 - 상단 중앙,../Data/6_UI/icon/IconGrade01.tga,.,12,12,31,0,0,0
403,등급 영웅 - 상단 중앙,../Data/6_UI/icon/IconGrade01.tga,.,12,12,32,0,0,0
410,Class 성기사 상단,../Data/6_UI/icon/IconGrade01.tga,.,12,12,33,0,0,0
411,Class 검투사 상단,../Data/6_UI/icon/IconGrade01.tga,.,12,12,34,0,0,0
412,Class 위자드 상단,../Data/6_UI/icon/IconGrade01.tga,.,12,12,35,0,0,0
413,Class 워메이지 상단,../Data/6_UI/icon/IconGrade01.tga,.,12,12,36,0,0,0
414,Class 트랩퍼 상단,../Data/6_UI/icon/IconGrade01.tga,.,12,12,37,0,0,0
415,Class 저격수 상단,../Data/6_UI/icon/IconGrade01.tga,.,12,12,38,0,0,0
416,Class 댄서 상단,../Data/6_UI/icon/IconGrade01.tga,.,12,12,39,0,0,0
417,Class 닌자 상단,../Data/6_UI/icon/IconGrade01.tga,.,12,12,40,0,0,0
418,Class 비스트마스터 상단,../Data/6_UI/icon/IconGrade01.tga,.,12,12,41,0,0,0
419,Class 미라지 상단,../Data/6_UI/icon/IconGrade01.tga,.,12,12,42,0,0,0
430,Class 성기사 하단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_041.tga,12,12,43,0,0,0
431,Class 검투사 하단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_042.tga,12,12,44,0,0,0
432,Class 위자드 하단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_043.tga,12,12,45,0,0,0
433,Class 워메이지 하단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_044.tga,12,12,46,0,0,0
434,Class 트랩퍼 하단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_045.tga,12,12,47,0,0,0
435,Class 저격수 하단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_046.tga,12,12,48,0,0,0
436,Class 댄서 하단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_047.tga,12,12,49,0,0,0
437,Class 닌자 하단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_048.tga,12,12,50,0,0,0
438,Class 비스트마스터 하단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_049.tga,12,12,51,0,0,0
439,Class 미라지 하단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_050.tga,12,12,52,0,0,0
451,Class 성기사 좌상단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_051.tga,12,12,68,0,0,0
452,Class 검투사 좌상단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_052.tga,12,12,69,0,0,0
453,Class 위자드 좌상단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_053.tga,12,12,70,0,0,0
454,Class 워메이지 좌상단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_054.tga,12,12,71,0,0,0
455,Class 트랩퍼 좌상단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_055.tga,12,12,72,0,0,0
456,Class 저격수 좌상단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_056.tga,12,12,73,0,0,0
457,Class 댄서 좌상단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_057.tga,12,12,74,0,0,0
458,Class 닌자 좌상단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_058.tga,12,12,75,0,0,0
459,Class 비스트마스터 좌상단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_059.tga,12,12,76,0,0,0
460,Class 미라지 좌상단,../Data/6_UI/icon/IconGrade01.tga,../Data/6_UI/icon/00_060.tga,12,12,77,0,0,0
445301,[길드] 물리공격 성수[1등급],../Data/6_UI/icon/skillbuff05.tga,.,8,8,2,0,0,0
445801,[길드] 마법공격 성수[1등급],../Data/6_UI/icon/skillbuff05.tga,.,8,8,3,0,0,0
446301,[길드] 물리방어 성수[1등급],../Data/6_UI/icon/skillbuff05.tga,.,8,8,4,0,0,0
446801,[길드] 마법방어 성수[1등급],../Data/6_UI/icon/skillbuff05.tga,.,8,8,5,0,0,0
447301,[길드] 힘의 불씨[1등급],../Data/6_UI/icon/skillbuff05.tga,.,8,8,6,0,0,0
447801,[길드] 지능의 불씨[1등급],../Data/6_UI/icon/skillbuff05.tga,.,8,8,7,0,0,0
448301,[길드] 건강의 불씨[1등급],../Data/6_UI/icon/skillbuff05.tga,.,8,8,8,0,0,0
448801,[길드] 민첩의 불씨[1등급],../Data/6_UI/icon/skillbuff05.tga,.,8,8,9,0,0,0
449301,[길드] 행운의 바람[1등급],../Data/6_UI/icon/skillbuff05.tga,.,8,8,10,0,0,0
