SkillAbilID,Memo,Type01,Value01,Type02,Value02,Type03,Value03,Type04,Value04,Type05,Value05,Type06,Value06,Type07,Value07,Type08,Value08,Type09,Value09,Type10,Value10,
1,몬스터기본 딜레이,0,0,2018,4,0,0,2011,16777216,0,0,7281,2,7291,2,0,0,2081,11000,2080,11000,
2,캐릭터기본1,0,0,2018,1,2019,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,캐릭터기본2,0,0,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,몬스터테스트스킬,2078,2,0,0,0,0,0,0,0,0,7281,2,7291,2,0,0,2081,4000,2080,4000,
20,몬스터테스트스킬,2078,4,0,0,0,0,0,0,0,0,7281,2,7291,2,0,0,2081,4000,2080,8000,
129,파렐 죽음,2018,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141,a_lavalon_powerbreak,7291,155,2018,4,2072,100004701,2073,100004701,2074,100004701,0,0,0,0,0,0,0,0,0,0,
144,무티샤 죽음,2018,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
147,파리스-각성전 레이져 발사방향별 그룹,3008,4,3010,100002102,3020,10,3011,146,3021,9,0,0,0,0,0,0,0,0,557,1,
150,슬러페 폭탄 스킬 공격,2078,2,0,0,2018,1,2011,33554432,1008,10,7281,2,7291,2,1007,1,2081,4000,2080,4000,
200,공격속도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
201,발사체 속도 1단계,254,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
202,발사체 속도 2단계,254,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203,발사체 속도 3단계,254,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204,발사체 속도 4단계,254,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
205,반사데미지무시,3128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2501,몬스터 독 기본,5001,12501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2502,리바이어스 맹독,5001,12502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2503,몬스터 중독 45Lv(툴팁용 스킬),5001,6015301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2902,캐릭높이*1 뜨기,2072,2902,2073,2902,2074,2902,3682,1,0,0,0,0,0,0,0,0,0,0,0,0,
2903,캐릭높이*2 뜨기,2072,2903,2073,2903,2074,2903,3682,1,0,0,0,0,0,0,0,0,0,0,0,0,
2904,캐릭높이*3 뜨기,2072,2904,2073,2904,2074,2904,3682,1,0,0,0,0,0,0,0,0,0,0,0,0,
2906,넉백1,2072,2906,2073,2906,2074,2906,3682,1,0,0,0,0,0,0,0,0,0,0,0,0,
2907,넉백2,2072,2907,2073,2907,2074,2907,3682,1,0,0,0,0,0,0,0,0,0,0,0,0,
2908,넉백3,2072,2908,2073,2908,2074,2908,3682,1,0,0,0,0,0,0,0,0,0,0,0,0,
2909,밀리기4,2072,2909,2073,2909,2074,2909,3682,1,0,0,0,0,0,0,0,0,0,0,0,0,
2910,밀리기1,2072,2910,2073,2910,2074,2910,3682,1,0,0,0,0,0,0,0,0,0,0,0,0,
2911,밀리기2,2072,2911,2073,2911,2074,2911,3682,1,0,0,0,0,0,0,0,0,0,0,0,0,
2912,밀리기3,2072,2912,2073,2912,2074,2912,3682,1,0,0,0,0,0,0,0,0,0,0,0,0,
2913,하얀 세상 만들기 (툴팁용),5001,72913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2914,멀리 넉백_2 (500),2072,2914,2073,2914,2074,2914,3682,1,0,0,0,0,0,0,0,0,0,0,0,0,
16401,분노상태-공업,5001,16405,0,50001,16402,50005,16402,0,0,0,0,0,0,0,0,0,0,0,0,0,
26401,분노상태-방업,5001,26405,0,50001,26402,50005,26402,0,0,0,0,0,0,0,0,0,0,0,0,0,
36401,분노상태-속업,5001,36405,0,50001,36402,50005,36402,0,0,0,0,0,0,0,0,0,0,0,0,0,
46401,분노상태(공방),5001,16405,0,50001,46401,50005,16402,0,0,0,0,0,0,0,0,0,0,0,0,0,
56401,분노상태(공속),5001,26405,0,50001,56401,50005,26402,0,0,0,0,0,0,0,0,0,0,0,0,0,
66401,분노상태(방속),5001,36405,0,50001,66401,50005,36402,0,0,0,0,0,0,0,0,0,0,0,0,0,
76401,분노상태(공방속),5001,36405,0,50001,76401,50005,36402,0,0,0,0,0,0,0,0,0,0,0,0,0,
602502,냉기폭풍 결빙이펙트,5001,7602502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
602503,몬스터용 결빙1단계,5001,7602503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
602506,몬스터 결빙2단계,5001,7602506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
602507,몬스터 냉동1단계,5001,7602507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
602508,몬스터 결빙 3단계,5001,7602508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
602509,몬스터 냉동 레그노용,5001,7602509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
620884,적대상을 무조건 +2 띄우기,2072,100004901,2073,100004901,2074,100004901,3682,1,0,0,0,0,0,0,0,0,0,0,0,0,
620886,적대상을 무조건 +3 띄우기,2072,600005001,2073,600005001,2074,600005001,3682,1,0,0,0,0,0,0,0,0,0,0,0,0,
620893,적대상을 무조건 +1 띄우기,2072,600004801,2073,600004801,2074,600004801,3682,1,0,0,0,0,0,0,0,0,0,0,0,0,
1100021,몬스터 일반상태 회복,541,0,2018,4,0,0,2011,16777216,1007,4,3406,16301,0,0,546,150,0,0,2090,1,
1100122,몬스터 분노 발동 -공업,541,0,2018,4,0,0,2011,16777216,1007,4,3406,16401,0,0,546,50,0,0,2090,1,
1100223,몬스터 브레이크,541,0,2018,4,0,0,2011,16777216,1007,4,3406,16501,0,0,546,10,0,0,2090,1,
1100322,몬스터 분노 시퀀스,541,0,2018,4,0,0,2011,16777216,1007,4,3406,16401,0,0,546,150,0,0,2090,1,
1100422,레그노 꼬리 버프,3008,4,3010,1100322,3020,10,3011,1100122,3021,9,0,0,0,0,0,0,0,0,0,0,
1100521,몬스터 일반상태 회복(한국 저레벨 정예용),541,0,2018,4,0,0,2011,16777216,1007,4,3406,16601,0,0,546,50,0,0,2090,1,
2100122,몬스터 분노 발동 -방업,541,0,2018,4,0,0,2011,16777216,1007,4,3406,26401,0,0,546,50,0,0,2090,1,
2100222,몬스터 분노 발동 -속업,541,0,2018,4,0,0,2011,16777216,1007,4,3406,36401,0,0,546,50,0,0,2090,1,
2100322,몬스터 분노(공방),541,0,2018,4,0,0,2011,16777216,1007,4,3406,46401,0,0,546,50,0,0,2090,1,
2100422,몬스터 분노(공속),541,0,2018,4,0,0,2011,16777216,1007,4,3406,56401,0,0,546,50,0,0,2090,1,
2100522,몬스터 분노(방속),541,0,2018,4,0,0,2011,16777216,1007,4,3406,66401,0,0,546,50,0,0,2090,1,
2100622,몬스터 분노(공방속),541,0,2018,4,0,0,2011,16777216,1007,4,3406,76401,0,0,546,50,0,0,2090,1,
3000300,정예_칼리곤_근거리(휘두르기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3000302,정예_칼리곤_원거리(전기 총 발사),541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,14,0,0,2090,1,
3000303,정예_칼리곤_원거리(아이스 총 발사),541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,14,0,0,2090,1,
3000304,정예_칼리곤_칼던졌다가 받기,541,1,2018,4,0,0,2011,16777218,1007,4,7281,5,7291,5,545,40,551,250,2090,1,
3000305,정예_칼리곤_대쉬 피어싱 (일섬),541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,14,0,0,551,1000,
