NationCodeStr,SkillAbilID,Memo,Type01,Value01,Type02,Value02,Type03,Value03,Type04,Value04,Type05,Value05,Type06,Value06,Type07,Value07,Type08,Value08,Type09,Value09,Type10,Value10
0,1001,기본띄우기,0,0,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,1002,기본날리기,0,0,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,10055,a_melee_01,2018,1,2011,16777216,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,10056,a_melee_02,2018,1,2011,16777216,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,10057,a_melee_03,2018,1,2011,16777216,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,10058,a_melee_04,2018,1,2011,16777216,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,10059,a_melee_05,2018,1,2011,16777216,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,10065,a_archer_shot_01,2018,1,2011,16777216,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,10066,a_shot_02,2018,1,2011,16777216,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,10067,a_shot_03,2018,1,2011,16777216,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,10080,a_archer_shot_01,2018,1,2011,16777216,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,10089,프로스트노바,2018,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,10093,a_melee_knock_back,2018,1,2011,16777216,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,10094,a_dash_attack,2018,1,2011,16777216,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,10095,a_melee_charge_attack,2018,1,2011,16777216,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,10096,a_down_attack,2018,1,2011,16777216,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,10097,a_fighter_jump_attack,2018,1,2011,16777216,0,0,0,0,0,0,0,0,0,0,0,0,1007,1,0,0
0,10100,부활,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10101,몬스터와 충돌때 사용할 충돌데미지,2081,10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11001,미션 경험치 패널티,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11101,부활하는 모션,557,11101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11102,부활할 때 물어보자!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11301,의자에 앉아 빈둥거리기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11401,궤짝 아이템 이펙트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11501,도움이 되는 상자 이펙트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11601,헌터캡슐 이펙트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11701,요리발동,2092,6,12400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11801,세공발동,2092,6,12400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11901,마력추출발동,2092,6,12400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19001,엠포리아 치유의 샘 이펙트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5001,19011
0,19011,마하펀치 확률 스턴,0,0,2075,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19101,조각상 설치,541,0,545,48,541,0,545,71,251,19201,0,0,0,0,0,0,0,0,0,0
0,19102,조각상 설치,541,0,545,48,541,0,545,71,0,0,0,0,0,0,0,0,0,0,0,0
0,19103,조각상 설치,541,0,545,48,541,0,545,71,0,0,0,0,0,0,0,0,0,0,0,0
0,19201,조각상 버프 스킬 1,2,1001101,0,0,541,1,545,10,0,0,0,0,0,0,0,0,1007,1,5001,1465301
0,19202,조각상 버프 스킬 2,2,1001102,0,0,541,1,545,10,0,0,0,0,0,0,0,0,1007,1,5001,1465302
0,19203,조각상 버프 스킬 3,2,1001103,0,0,541,1,545,10,0,0,0,0,0,0,0,0,1007,1,5001,1465303
0,19401,조각상 방어버프_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5001,1465301
0,19502,조각상 방어버프_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5001,1465302
0,19603,조각상 방어버프_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5001,1465303
0,20310,그로기 축적 1 Lv,7691,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20320,그로기 축적 2 Lv,7691,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20330,그로기 축적 3 Lv,7691,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20340,그로기 축적 4 Lv,7691,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20350,그로기 축적 5 Lv,7691,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20360,그로기 축적 6 Lv,7691,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20370,그로기 축적 7 Lv,7691,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20380,그로기 축적 8 Lv,7691,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20390,그로기 축적 9 Lv,7691,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
