SkillNo,Level,NameNo,RscNameNo,ActionName,Memo,Type,ClassLimit,LevelLimit,WeaponLimit,StateLimit,ParentSkill,Target,Range,CastTime,CoolTime,AnimationTime,MP,HP,EffectID,Abil01,Abil02,Abil03,Abil04,Abil05,Abil06,Abil07,Abil08,Abil09,Abil10,CmdStringNo,DraClassLimit,f_ActionCategory
1,1,0,0,a_mon_melee_01,몬스터 조준과 공격,2,0,0,0,0,0,0,59,1200,0,700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,a_mon_melee_01,몸통박치기,2,0,0,0,0,1,0,59,0,0,700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,a_mon_shot_01,몬스터기본원거리,2,0,0,0,0,1,0,120,0,0,1300,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,a_mon_cast_01,몬스터기본마법,2,0,0,0,0,1,0,120,0,0,900,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0
129,1,0,0,a_parel_die,파렐 죽음,1,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,20820,0,0,0,0,0,0,0,0,0,0
130,1,0,0,a_lavalon_appear,a_lavalon_appear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
131,1,0,0,a_lavalon_attk_l,a_lavalon_attk_l,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
132,1,0,0,a_lavalon_attk_r,a_lavalon_attk_r,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
136,1,0,0,a_lavalon_die,a_lavalon_die,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
137,1,0,0,a_lavalon_dmg_01,a_lavalon_dmg_01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
138,1,0,0,a_fly,공중형 몬스터,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
140,1,0,0,a_lavalon_idle,a_lavalon_idle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
141,1,0,0,a_lavalon_powerbreak,a_lavalon_powerbreak,2,0,0,0,0,0,0,0,2570,0,0,0,0,0,141,0,20820,0,0,0,0,0,0,0,0,0,0
142,0,0,0,a_mon_melee_08,애들 불러오기,2,0,0,0,0,0,2,1200,1,100000,1,0,0,2601,6013911,6013912,20820,0,0,200,6000001,0,0,0,0,0,0
143,0,0,0,a_mon_melee_08,애들이 뭐하고 있으면 안 불러오기,2,0,0,0,0,0,2,1200,1,100000,1,0,0,2601,6013913,6013914,20820,0,0,200,6000001,0,0,0,0,0,0
144,1,0,0,a_mutisha_die,무티샤 죽음,1,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,20820,0,0,0,0,0,0,0,0,0,0
145,1,0,0,a_bonedragon_die,본드래곤 죽음,1,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,20820,0,0,0,0,0,0,0,0,0,0
146,1,0,0,a_boss_die_movie, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,20820,0,0,0,0,0,0,0,0,0,0
2501,1,2501,0,0,몬스터 기본독,1,0,0,0,0,0,0,0,0,0,0,0,0,2501,2501,0,20820,0,0,0,0,0,0,0,0,0,0
2502,1,2502,0,0,리바이어스 맹독,1,0,0,0,0,0,0,0,0,0,700,0,0,2502,2502,0,20820,0,0,0,0,0,0,0,0,0,0
2503,1,100010601,0,0,몬스터 중독 45Lv,1,0,0,0,0,0,0,0,0,0,0,0,0,2503,2503,0,20820,0,0,0,0,0,0,0,0,0,0
2902,0,0,0,a_blow_up_small_mon,캐릭높이*1 뜨기,1,0,0,0,0,0,0,59,0,0,300,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
2903,0,0,0,a_blow_up_medium_mon,캐릭높이*2 뜨기,1,0,0,0,0,0,0,59,0,0,300,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
2904,0,0,0,a_blow_up_large_mon,캐릭높이*3 뜨기,1,0,0,0,0,0,0,59,0,0,300,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
2906,1,0,0,mon_push_back_short,a_push_back_short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
2907,1,0,0,mon_push_back,a_push_back,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
2908,1,0,0,mon_push_back_long,a_push_back_long,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
2909,1,0,0,mon_push_atot,mon_push_atot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
2910,1,0,0,mon_pushshort,mon_pushshort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
2911,1,0,0,mon_pushmiddle,mon_pushmiddle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
2912,1,0,0,mon_pushlong,mon_pushlong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
2913,1,2913,0,0,하얀 세상 만들기(툴팁용),1,0,0,0,0,0,0,0,0,0,0,0,0,2913,2913,0,20820,0,0,0,0,0,0,0,0,0,0
2914,1,0,0,mon_push_back_long_2,멀리 밀기_2 (500),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
10101,1,0,0,a_mon_collision_01,몬스터와 충돌때 사용할 충돌데미지,1,0,0,0,0,0,0,59,0,0,700,0,0,0,10101,0,0,0,0,0,0,0,0,0,0,0,0
11001,1,0,11001,a_exp_rate,미션 경험치 패널티,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11001,0,0,0,0,0,0,0,0,0,0,0,0
11002,1,0,0,a_object_break,부서지는 오브젝트 다이,1,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
