f_NationCodeStr,No,Memo,Rate01,Rate02,Rate03,Rate04,Rate05,Rate06,Rate07,Rate08,Rate09,Rate10,Total_Rate
0,0,0번,0,0,0,0,0,0,0,0,0,0,0
63,0,0번,0,0,0,0,0,0,0,0,0,0,0
0,1,아이템제련 옵션붙을 확률1,100,0,0,0,0,0,0,0,0,0,100
63,1,아이템제련 옵션붙을 확률1,100,0,0,0,0,0,0,0,0,0,100
0,2,아이템제련 옵션붙을 확률2,100,0,0,0,0,0,0,0,0,0,100
0,3,몬,10,9,8,0,0,0,0,0,0,0,27
0,4,몬,10,9,8,7,6,10,9,8,7,1,75
0,5,몬,10,9,8,0,0,0,0,0,0,0,27
0,6,몬,10,9,8,7,6,10,9,8,7,6,80
0,7,몬,10,9,8,7,6,10,9,8,7,6,80
0,8,몬,10,9,8,0,0,0,0,0,0,0,27
0,9,saphire,10,0,0,0,0,0,0,0,0,0,10
0,10,몬스터테스트,1,2,3,4,5,5,10,10,10,50,100
0,11,정예,100,0,0,0,0,0,0,0,0,0,100
0,12,맵별몬스터 4단,25,25,25,25,0,0,0,0,0,0,100
0,13,맵별몬스터 기본,50,50,50,0,0,0,0,0,0,0,150
0,14,몬스터 백,50,25,15,10,0,0,0,0,0,0,100
0,15,대필드 난이도별 백,10,9,0,0,0,0,0,0,0,0,19
0,16,소필드 일반 백 1,10,9,8,7,6,5,4,3,0,0,52
0,17,소필드 일반 백 2,10,9,8,7,6,0,0,0,0,0,40
0,18,소필드 일반 백 3,10,9,8,7,6,5,0,0,0,0,45
0,19,소필드 일반 백 4,10,10,9,9,8,8,7,7,6,6,80
0,20,몬스터 백 기본 드랍 타입 1,10,9,8,7,6,5,50,0,0,0,95
0,21,몬스터 백 기본 드랍 타입 2,6,7,8,8,9,50,0,0,0,0,88
0,22,몬스터 백 기본 드랍 타입 3,10,9,8,7,50,0,0,0,0,0,84
0,23,몬스터 백 기본 드랍 타입 4,6,7,8,50,0,0,0,0,0,0,71
0,24,맵별 몬스터 리젠 샘플 1,10,10,10,0,5,5,5,5,5,0,55
0,25,맵별 몬스터 리젠 샘플 1,10,10,10,10,5,5,5,5,5,0,65
0,26,맵별 몬스터 리젠 샘플 2,10,10,10,0,5,5,0,0,0,0,40
0,27,맵별 몬스터 리젠 샘플 2,10,10,10,10,5,5,0,0,0,0,50
0,28,맵별 몬스터 리젠 샘플 3,10,10,10,0,5,5,5,5,0,0,50
0,29,맵별 몬스터 리젠 샘플 3,10,10,10,10,5,5,5,5,0,0,60
0,30,맵별 몬스터 리젠 샘플 4,10,10,10,0,5,0,0,0,0,0,35
0,31,맵별 몬스터 리젠 샘플 4,10,10,10,10,5,0,0,0,0,0,45
0,32,2칸에 1칸 꽝,10,8,50,0,0,0,0,0,0,0,68
0,33,1칸에 1칸 꽝,10,50,0,0,0,0,0,0,0,0,60
0,34,4칸에 1칸 꽝,10,8,6,4,50,0,0,0,0,0,78
0,35,5칸에 1칸 꽝,10,8,6,4,2,50,0,0,0,0,80
0,36,미션 10칸 짜리,80,70,60,50,40,30,20,10,4,2,366
0,37,맵 장비 백 1,70,20,10,0,0,0,0,0,0,0,100
0,38,맵 장비 백 2,70,30,0,0,0,0,0,0,0,0,100
0,39,펫_아이템제련 옵션붙을 확률1,100,0,0,0,0,0,0,0,0,0,100
0,40,펫_아이템제련 옵션붙을 확률2,100,0,0,0,0,0,0,0,0,0,100
0,42,액세서리 스킬 확장 +2,0,100,0,0,0,0,0,0,0,0,100
0,43,액세서리 스킬 확장 +3,0,0,100,0,0,0,0,0,0,0,100
0,1001,1개중 1개 선택,10,0,0,0,0,0,0,0,0,0,10
0,1002,2개중 1개 선택,10,10,0,0,0,0,0,0,0,0,20
0,1003,3개중 1개 선택,10,10,10,0,0,0,0,0,0,0,30
0,1004,4개중 1개 선택,10,10,10,10,0,0,0,0,0,0,40
0,1005,5개중 1개 선택,10,10,10,10,10,0,0,0,0,0,50
0,1006,6개중 1개 선택,10,10,10,10,10,10,0,0,0,0,60
0,1007,7개중 1개 선택,10,10,10,10,10,10,10,0,0,0,70
0,1008,8개중 1개 선택,10,10,10,10,10,10,10,10,0,0,80
0,1009,6개 중에 1개 선택 중 2개 쎈놈,100,100,100,100,50,50,0,0,0,0,500
0,1010,5개 중에 1개 선택 중 1개 쎈놈,200,100,100,50,50,0,0,0,0,0,500
0,1011,4개 중에 1개 선택 중 1개 쎈놈,200,100,100,100,0,0,0,0,0,0,500
0,1012,3개 중에 1개 선택 중 1개 쎈놈,200,200,100,0,0,0,0,0,0,0,500
0,1013,2개 중에 1개 선택 중 1개 쎈놈,400,100,0,0,0,0,0,0,0,0,500
0,1200,100% 확률 디펜스희귀몬스터,100,0,0,0,0,0,0,0,0,0,100
