idx,NpcGuid,ItemNo,Gem1,GemCount1,Gem2,GemCount2,Gem3,GemCount3,Gem4,GemCount4,Gem5,GemCount5,CP
1,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141100140,49000550,3,0,0,0,0,0,0,0,0,4000
2,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141100170,49000550,4,0,0,0,0,0,0,0,0,6000
3,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141100200,49000550,5,0,0,0,0,0,0,0,0,8500
4,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141100230,49000550,6,0,0,0,0,0,0,0,0,11000
5,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141100260,49000550,9,0,0,0,0,0,0,0,0,17000
6,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141200140,49000550,3,0,0,0,0,0,0,0,0,4000
7,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141200170,49000550,4,0,0,0,0,0,0,0,0,6000
8,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141200200,49000550,5,0,0,0,0,0,0,0,0,8500
9,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141200230,49000550,6,0,0,0,0,0,0,0,0,11000
10,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141200260,49000550,9,0,0,0,0,0,0,0,0,17000
11,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141300140,49000550,3,0,0,0,0,0,0,0,0,4000
12,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141300170,49000550,4,0,0,0,0,0,0,0,0,6000
13,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141300200,49000550,5,0,0,0,0,0,0,0,0,8500
14,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141300230,49000550,6,0,0,0,0,0,0,0,0,11000
15,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141300260,49000550,9,0,0,0,0,0,0,0,0,17000
16,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141400140,49000550,1,0,0,0,0,0,0,0,0,2000
17,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141400170,49000550,2,0,0,0,0,0,0,0,0,3000
18,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141400200,49000550,2,0,0,0,0,0,0,0,0,4000
19,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141400230,49000550,4,0,0,0,0,0,0,0,0,7000
20,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141400260,49000550,6,0,0,0,0,0,0,0,0,11000
21,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141500140,49000550,1,0,0,0,0,0,0,0,0,2000
22,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141500170,49000550,2,0,0,0,0,0,0,0,0,3000
23,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141500200,49000550,2,0,0,0,0,0,0,0,0,4000
24,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141500230,49000550,4,0,0,0,0,0,0,0,0,7000
25,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141500260,49000550,6,0,0,0,0,0,0,0,0,11000
26,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141600140,49000550,1,0,0,0,0,0,0,0,0,2000
27,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141600170,49000550,2,0,0,0,0,0,0,0,0,3000
28,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141600200,49000550,2,0,0,0,0,0,0,0,0,4000
29,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141600230,49000550,4,0,0,0,0,0,0,0,0,7000
